A1BG,31
A1CF,30
A2M,252
A2ML1,28
A3GALT2,3
A4GALT,40
A4GNT,13
AAAS,65
AACS,12
AADAC,25
AADACL2,5
AADACL3,2
AADACL4,3
AADAT,23
AAGAB,35
AAK1,45
AAMDC,16
AAMP,35
AANAT,40
AAR2,36
AARD,3
AARS,51
AARS2,34
AARSD1,17
AASDH,10
AASDHPPT,28
AASS,25
AATF,85
AATK,23
ABAT,42
ABCA1,701
ABCA2,45
ABCA3,80
ABCA4,218
ABCA5,25
ABCA6,18
ABCA7,65
ABCA8,22
ABCA9,10
ABCA10,9
ABCA12,42
ABCA13,20
ABCB1,2209
ABCB4,132
ABCB5,57
ABCB6,60
ABCB7,47
ABCB8,30
ABCB9,36
ABCB10,26
ABCB11,131
ABCC1,350
ABCC2,296
ABCC3,100
ABCC4,182
ABCC5,65
ABCC6,121
ABCC8,234
ABCC9,69
ABCC10,33
ABCC11,53
ABCC12,13
ABCD1,128
ABCD2,28
ABCD3,89
ABCD4,25
ABCE1,81
ABCF1,64
ABCF2,54
ABCF3,29
ABCG1,143
ABCG2,763
ABCG4,29
ABCG5,105
ABCG8,113
ABHD1,8
ABHD2,20
ABHD3,13
ABHD4,9
ABHD5,50
ABHD6,22
ABHD8,9
ABHD10,26
ABHD11,19
ABHD12,22
ABHD12B,6
ABHD13,8
ABHD14A,12
ABHD14B,19
ABHD15,6
ABHD16A,33
ABHD16B,7
ABHD17A,11
ABHD17B,8
ABHD17C,6
ABHD18,3
ABI1,91
ABI2,49
ABI3,25
ABI3BP,23
ABL1,801
ABL2,96
ABLIM1,59
ABLIM2,18
ABLIM3,23
ABO,256
ABR,35
ABRA,20
ABRACL,10
ABRAXAS1,46
ABRAXAS2,32
ABT1,22
ABTB1,20
ABTB2,13
ACAA1,46
ACAA2,32
ACACA,118
ACACB,73
ACAD8,22
ACAD9,44
ACAD10,19
ACAD11,33
ACADL,30
ACADM,106
ACADS,54
ACADSB,36
ACADVL,71
ACAN,145
ACAP1,29
ACAP2,24
ACAP3,12
ACAT1,80
ACAT2,43
ACBD3,55
ACBD4,18
ACBD5,26
ACBD6,13
ACBD7,7
ACCS,9
ACCSL,1
ACD,83
ACE,2506
ACE2,256
ACER1,9
ACER2,14
ACER3,19
ACHE,202
ACIN1,81
ACKR1,137
ACKR2,58
ACKR3,205
ACKR4,25
ACLY,123
ACMSD,18
ACO1,88
ACO2,56
ACOD1,12
ACOT1,11
ACOT2,21
ACOT4,13
ACOT6,6
ACOT7,35
ACOT8,40
ACOT9,30
ACOT11,19
ACOT12,13
ACOT13,30
ACOX1,47
ACOX2,16
ACOX3,18
ACOXL,20
ACP1,138
ACP2,41
ACP4,4
ACP5,93
ACP6,17
ACP7,5
ACPP,94
ACR,36
ACRBP,13
ACRV1,13
ACSBG1,17
ACSBG2,11
ACSF2,12
ACSF3,23
ACSL1,49
ACSL3,70
ACSL4,76
ACSL5,44
ACSL6,26
ACSM1,18
ACSM2A,14
ACSM2B,13
ACSM3,32
ACSM4,5
ACSM5,9
ACSM6,5
ACSS1,24
ACSS2,32
ACSS3,8
ACTA1,371
ACTA2,233
ACTB,500
ACTBL2,52
ACTC1,183
ACTG1,245
ACTG2,91
ACTL6A,117
ACTL6B,33
ACTL7A,13
ACTL7B,11
ACTL8,10
ACTL9,4
ACTL10,2
ACTN1,213
ACTN2,117
ACTN3,194
ACTN4,226
ACTR1A,80
ACTR1B,34
ACTR2,138
ACTR3,128
ACTR3B,24
ACTR3C,9
ACTR5,32
ACTR6,20
ACTR8,28
ACTR10,20
ACTRT1,7
ACTRT2,6
ACTRT3,7
ACVR1,142
ACVR1B,91
ACVR1C,29
ACVR2A,116
ACVR2B,77
ACVRL1,161
ACY1,54
ACY3,15
ACYP1,16
ACYP2,39
ADA,232
ADA2,40
ADAD1,19
ADAD2,7
ADAL,6
ADAM2,16
ADAM7,9
ADAM8,56
ADAM9,106
ADAM10,306
ADAM11,15
ADAM12,191
ADAM15,78
ADAM17,399
ADAM18,10
ADAM19,45
ADAM20,5
ADAM21,6
ADAM22,39
ADAM23,33
ADAM28,43
ADAM29,10
ADAM30,10
ADAM32,8
ADAM33,144
ADAMDEC1,13
ADAMTS1,98
ADAMTS2,29
ADAMTS3,31
ADAMTS4,115
ADAMTS5,97
ADAMTS6,22
ADAMTS7,33
ADAMTS8,16
ADAMTS9,73
ADAMTS10,21
ADAMTS12,31
ADAMTS13,425
ADAMTS14,19
ADAMTS15,15
ADAMTS16,17
ADAMTS17,20
ADAMTS18,28
ADAMTS19,9
ADAMTS20,10
ADAMTSL1,24
ADAMTSL2,13
ADAMTSL3,24
ADAMTSL4,42
ADAMTSL5,12
ADAP1,40
ADAP2,27
ADAR,279
ADARB1,83
ADARB2,30
ADAT1,8
ADAT2,14
ADAT3,12
ADCK1,14
ADCK2,11
ADCK5,11
ADCY1,47
ADCY2,41
ADCY3,61
ADCY4,23
ADCY5,69
ADCY6,58
ADCY7,42
ADCY8,48
ADCY9,48
ADCY10,40
ADCYAP1,134
ADCYAP1R1,82
ADD1,225
ADD2,62
ADD3,49
ADGB,6
ADGRA1,14
ADGRA2,21
ADGRA3,17
ADGRB1,37
ADGRB2,21
ADGRB3,23
ADGRD1,19
ADGRD2,8
ADGRE1,15
ADGRE2,39
ADGRE3,12
ADGRE5,71
ADGRF1,20
ADGRF2,7
ADGRF3,11
ADGRF4,10
ADGRF5,25
ADGRG1,66
ADGRG2,16
ADGRG3,13
ADGRG4,8
ADGRG5,13
ADGRG6,40
ADGRG7,12
ADGRL1,27
ADGRL2,29
ADGRL3,37
ADGRL4,18
ADGRV1,58
ADH1A,48
ADH1B,370
ADH1C,219
ADH4,62
ADH5,74
ADH6,26
ADH7,57
ADHFE1,14
ADI1,28
ADIG,3
ADIPOQ,2093
ADIPOR1,218
ADIPOR2,146
ADIRF,14
ADK,42
ADM,339
ADM2,49
ADM5,2
ADNP,58
ADNP2,15
ADO,14
ADORA1,125
ADORA2A,327
ADORA2B,116
ADORA3,99
ADPGK,24
ADPRH,14
ADPRHL1,6
ADPRHL2,24
ADPRM,6
ADRA1A,123
ADRA1B,75
ADRA1D,57
ADRA2A,220
ADRA2B,127
ADRA2C,95
ADRB1,358
ADRB2,1014
ADRB3,342
ADRM1,100
ADSL,68
ADSS,29
ADSSL1,15
ADTRP,22
AEBP1,31
AEBP2,29
AEN,13
AFAP1,34
AFAP1L1,13
AFAP1L2,34
AFDN,109
AFF1,86
AFF2,43
AFF3,41
AFF4,65
AFG1L,18
AFG3L2,65
AFM,36
AFMID,9
AFP,294
AFTPH,22
AGA,57
AGAP1,32
AGAP2,54
AGAP3,25
AGAP4,8
AGAP5,3
AGAP6,2
AGAP9,3
AGBL1,19
AGBL2,14
AGBL3,8
AGBL4,10
AGBL5,20
AGER,837
AGFG1,63
AGFG2,18
AGGF1,34
AGK,54
AGL,72
AGMAT,27
AGMO,14
AGO1,103
AGO2,298
AGO3,41
AGO4,34
AGPAT1,38
AGPAT2,38
AGPAT3,23
AGPAT4,16
AGPAT5,22
AGPS,51
AGR2,129
AGR3,26
AGRN,66
AGRP,63
AGT,1034
AGTPBP1,25
AGTR1,894
AGTR2,220
AGTRAP,37
AGXT,104
AGXT2,34
AHCTF1,32
AHCY,110
AHCYL1,63
AHCYL2,23
AHDC1,25
AHI1,71
AHNAK,104
AHNAK2,20
AHR,554
AHRR,67
AHSA1,63
AHSG,294
AHSP,49
AICDA,246
AIDA,16
AIF1,83
AIF1L,26
AIFM1,270
AIFM2,24
AIFM3,20
AIG1,21
AIM2,87
AIMP1,122
AIMP2,98
AIP,138
AIPL1,77
AIRE,179
AJAP1,25
AJM1,0
AJUBA,44
AK1,42
AK2,46
AK3,23
AK4,30
AK5,12
AK6,21
AK7,14
AK8,14
AK9,16
AKAIN1,2
AKAP1,57
AKAP2,34
AKAP3,24
AKAP4,27
AKAP5,74
AKAP6,37
AKAP7,28
AKAP8,75
AKAP8L,65
AKAP9,101
AKAP10,44
AKAP11,37
AKAP12,92
AKAP13,85
AKAP14,8
AKAP17A,21
AKIP1,30
AKIRIN1,13
AKIRIN2,19
AKNA,16
AKNAD1,11
AKR1A1,46
AKR1B1,173
AKR1B10,101
AKR1B15,13
AKR1C1,77
AKR1C2,73
AKR1C3,154
AKR1C4,43
AKR1D1,36
AKR1E2,14
AKR7A2,32
AKR7A3,17
AKR7L,10
AKT1,3084
AKT1S1,62
AKT2,327
AKT3,192
AKTIP,31
ALAD,129
ALAS1,52
ALAS2,59
ALB,546
ALCAM,151
ALDH1A1,302
ALDH1A2,45
ALDH1A3,60
ALDH1B1,64
ALDH1L1,64
ALDH1L2,18
ALDH2,618
ALDH3A1,64
ALDH3A2,75
ALDH3B1,30
ALDH3B2,17
ALDH4A1,26
ALDH5A1,58
ALDH6A1,26
ALDH7A1,68
ALDH8A1,14
ALDH9A1,31
ALDH16A1,20
ALDH18A1,66
ALDOA,159
ALDOB,60
ALDOC,61
ALG1,32
ALG1L,3
ALG1L2,2
ALG2,35
ALG3,20
ALG5,11
ALG6,26
ALG8,29
ALG9,28
ALG10,11
ALG10B,9
ALG11,12
ALG12,18
ALG13,39
ALG14,14
ALK,614
ALKAL1,7
