A	B
CROCC	NTHL1
GCLC	UHRF1BP1
ST3GAL1	UHRF1BP1
REX1BD	WDR18
PRKAR2B	GLP2R
MGST1	GLP2R
AIFM2	GLP2R
RETSAT	GLP2R
ATP9A	GLP2R
GYG2	GLP2R
PLEKHB1	ERBB3
CD9	PDIA5
CD74	PDIA5
CD44	PDIA5
SNCAIP	PDIA5
KLHL13	MYLK
TSPOAP1	MYLK
TBXA2R	MYLK
HSD17B6	MYLK
EPHA3	MYLK
CYFIP2	MYLK
BTK	PACC1
TACC3	PACC1
AGPAT4	PACC1
LCP2	PACC1
ZNF800	SLK
ELOVL5	ME1
CCDC85A	TIE1
ALDH3B1	CD84
RNASET2	CD84
SLC4A8	CD84
GDE1	ELOVL1
B4GALT7	ELOVL1
ALDH3B1	SPI1
RNASET2	SPI1
GRN	SPI1
SLC4A8	SPI1
BCAT1	SPI1
PLEKHO1	MSANTD3
HOMER3	MSANTD3
CAMKK1	PFKP
TEAD3	PFKP
CD9	PFKP
PLEKHO1	PFKP
CD44	PFKP
VCL	PFKP
RAI14	PFKP
BCAR1	PFKP
CYFIP2	PFKP
PDIA5	PFKP
CAMKK1	CACNB1
ARHGAP33	CACNB1
ITGA3	CACNB1
TMEM98	CACNB1
CD9	CACNB1
TMEM159	CACNB1
MTMR11	CACNB1
HOMER3	CACNB1
CA11	CACNB1
DGKA	CACNB1
PLAUR	PKM
ARHGAP33	ROGDI
ITGA3	ROGDI
MTMR11	ROGDI
ADGRA2	ROGDI
BTN3A1	ROGDI
CA11	ROGDI
CACNB1	ROGDI
TBXA2R	PDZD4
LTBP1	PDZD4
CYFIP2	PDZD4
CA11	PDZD4
MYLK	PDZD4
CDKL5	ROCK1
LAP3	IFI35
UQCRC1	COASY
NTHL1	PLEKHH3
WWC3	MEF2A
GDE1	TFE3
KIAA0100	TFE3
CSDE1	TFE3
USE1	TFE3
HAGH	TFE3
TSPOAP1	REEP1
TBXA2R	REEP1
HSD17B6	REEP1
LTBP1	REEP1
CYFIP2	REEP1
PDZD4	REEP1
RBM6	PPP2R5B
DSG2	ADGRF5
CCDC85A	ADGRF5
BCAR1	BCL3
ALDH3B1	KCNAB2
MATK	KCNAB2
TACC3	KCNAB2
RNASET2	KCNAB2
GRN	KCNAB2
SLC4A8	KCNAB2
LPAR2	KCNAB2
CASP10	CLEC2D
ATP9A	MAOB
FOXN3	TGFBR3
WWTR1	RAB27A
CDK17	RAB27A
ABCF2	HDHD5
PLEKHA5	LRP6
VPS50	ELP1
OFD1	ELP1
RNASET2	DAPP1
SLC4A8	DAPP1
LPAR2	DAPP1
SPI1	DAPP1
KCNAB2	DAPP1
SNAPC1	JMJD6
TRAF3IP2	JMJD6
YBX3	JMJD6
ST3GAL1	WIPI1
CELF2	WIPI1
SOAT1	WIPI1
TGFBR3	WIPI1
CROT	TESK2
MTMR11	TESK2
CACNB1	TESK2
CYB561	OSBPL3
RNASET2	OSBPL3
MCUB	ATP2B1
TSPAN9	NCK2
WWC3	NCK2
PPP1R12A	WDR1
PFKP	WDR1
KIF2A	SNX13
JADE2	ARHGAP10
FAM214A	ARHGAP10
FOXN3	ARHGAP10
AASS	RPS6KA2
BTN3A1	VASH1
GCLM	LMCD1
CAPN1	TCF3
ADGRF5	TRIB2
CLPTM1L	MBD3
NDST1	ADGRL1
