A	B
CASP10	TMCC3
TACC3	TMCC3
PRKCH	TMCC3
SCMH1	MTA3
FUT8	USP13
HOMER3	SEC61A1
RNF19A	PPP1R12A
PLEKHA5	PPP1R12A
FOXN3	PPP1R12A
KIF1B	PPP1R12A
ATP9A	PPP1R12A
RNF216	ATP2B4
COX10	NDC1
MIPEP	NDC1
TACC3	TBXAS1
CAPG	TBXAS1
DEF6	PARP12
NFE2L3	PARP12
GALC	PARP12
LIG3	ALDH18A1
ERCC1	ALDH18A1
ZNF207	CDK17
SNAPC1	CDK17
SCML1	CDK17
MXD1	CDK17
SLC25A5	DNAJC25
UTP18	DNAJC25
SNAPC1	YBX3
RFC2	YBX3
RRP12	YBX3
NOP58	YBX3
BTBD7	WNK1
TPR	WNK1
CFLAR	OGFR
MAP3K14	OGFR
ZNF207	OGFR
CDK17	OGFR
PLAUR	GNA15
CD74	GNA15
DEF6	GNA15
CD9	MPC1
PI4K2B	MPC1
KIF1B	MPC1
LETMD1	ACAA1
CASP10	BCAT1
MCUB	BCAT1
BTK	BCAT1
TYMP	BCAT1
TNFRSF1B	BCAT1
GNA15	BCAT1
PRICKLE3	HDAC7
TBXA2R	PRDM6
IDS	NCKAP1
BTBD7	NCKAP1
WWC3	NCKAP1
RBM6	TNK2
LUC7L	TNK2
MTMR11	TNK2
TUBG2	TNK2
PHKA2	TNK2
SEC62	GPBP1
PRKAR2B	DGAT2
CCDC28A	EIF4B
PHF7	SLC6A16
PRDM11	SPHK2
JADE2	SPHK2
ARHGAP44	CA11
PLEKHB1	CA11
FBXL3	ZNF275
SPRTN	ZNF275
FAM13B	ZNF275
OSBPL5	GPC1
CHPF2	GPC1
CASP10	CASP8
TACC3	CASP8
NFE2L3	CASP8
MAN2B2	LIMCH1
TIMP2	LIMCH1
LTBP1	LIMCH1
FOXN3	LIMCH1
FOXC1	LIMCH1
ATP9A	LIMCH1
RB1CC1	TAF2
PLXND1	CTSA
CYBA	CTSA
GALC	CTSA
CASP10	ABCA7
ITGAL	ABCA7
TRAF3IP3	ABCA7
DEF6	ABCA7
RNASET2	ABCA7
SNX11	DDX20
ZNF195	DDX20
ALG1	DDX20
SPDL1	DDX20
AP5M1	DDX20
NDC1	DDX20
FGR	FAR2
ICA1	FAR2
CASP10	FAR2
MCUB	FAR2
GAS7	FAR2
STAB1	FAR2
ZNF200	FAR2
BTK	FAR2
ALOX5	FAR2
TACC3	FAR2
WAS	FAR2
DEF6	FAR2
PRKCH	FAR2
MFAP3	FAR2
LCP2	FAR2
KCNQ1	FAR2
TMCC3	FAR2
TBXAS1	FAR2
CASP8	FAR2
AGPS	PMS1
HAGH	HMG20B
CASP10	CALCRL
PRKCH	CALCRL
CFLAR	ZNF76
ZNF207	ZNF76
PHF7	ZNF76
RUFY3	ZNF76
OGFR	ZNF76
IDS	OAT
GABARAPL2	OAT
TIMP2	OAT
LAP3	WDR3
COX10	WDR3
ALAS1	WDR3
ARHGAP31	WDR3
ALG1	WDR3
DDX20	WDR3
ADAM22	NTN1
FAM214B	DGKA
GTF2IRD1	DGKA
MRC2	DGKA
PGM3	DGKA
ST7	ANKRD44
CRY1	TBC1D22B
PLEKHO1	TBC1D22B
RAI14	TBC1D22B
FNIP2	TBC1D22B
MAP4	MYLK
FOXN3	MYLK
ATP9A	MYLK
LIMCH1	MYLK
ALS2	MAP2K4
RALA	PACC1
BID	PACC1
CDK11A	SEC61A2
ZNF207	SEC61A2
TNK2	SEC61A2
ZNF76	SEC61A2
RNF216	ASB1
VCL	ASB1
TRIO	ASB1
WWC3	ASB1
MAP4	ASB1
CYTH3	TBC1D1
RNF216	TBC1D1
TRIO	TBC1D1
KIF1B	TBC1D1
ASB1	TBC1D1
ZMYND11	PPP2R5A
RNF14	ELAVL1
ICA1	TIE1
CCDC88C	TIE1
TACC3	CD84
FAR2	CD84
SEC61A1	ELOVL1
MCUB	SPI1
TRAF3IP3	SPI1
FAR2	SPI1
HDAC9	MPPED2
PRDM6	MPPED2
SUGP2	ATXN3
RECQL	GOLGA5
DCUN1D1	LRRC40
ZNF800	LRRC40
AP5M1	LRRC40
RB1CC1	THUMPD1
RANBP9	MSANTD3
TOMM34	MSANTD3
CD44	MSANTD3
HOMER3	MSANTD3
ICA1	KIF26A
GAS7	KIF26A
SEMA3G	KIF26A
PRKCH	KIF26A
TIE1	KIF26A
AASS	ATG2B
GCLC	FECH
FUT8	FECH
USP13	FECH
SDCCAG8	SP100
ST7	NEO1
MYLIP	NEO1
EHD3	NEO1
TIMP2	NEO1
LTBP1	NEO1
DKK3	NEO1
LIMCH1	NEO1
ANKRD44	NEO1
VTA1	TRAM1
ZNF800	TRAM1
JKAMP	TRAM1
MCUR1	TRAM1
HIPK2	PHKA1
GGCT	TNFRSF1A
PRICKLE3	TNFRSF1A
RHBDF1	CACNB1
AKAP8L	CACNB1
MTMR11	CACNB1
TRAF1	CACNB1
