A	B
CSDE1	RRAGD
RNF10	RRAGD
KDM7A	PHF20
CD74	TYMP
LAS1L	NCAPH2
RBM5	NCAPH2
NISCH	NCAPH2
SPAG9	SEC63
UTP18	SEC63
SEC62	KPNA6
VTA1	KPNA6
RABGAP1	KPNA6
ZMYND11	KPNA6
LASP1	VIM
TMEM98	VIM
ARSD	VIM
MAN2B2	VIM
TMEM176A	FAS
TMEM98	FAS
WWTR1	FAS
VIM	FAS
PLXND1	RNASET2
ARHGAP33	RNASET2
TMEM98	RNASET2
CYB561	RNASET2
ADGRA2	RNASET2
TMEM176A	CD44
MCUB	CD44
TMEM98	CD44
PLAUR	CD44
ELOVL5	CD44
WWTR1	CD44
HGF	CD44
FAS	CD44
LASP1	AGPAT4
PLXND1	AGPAT4
MCUB	AGPAT4
TMEM98	AGPAT4
CYB561	AGPAT4
TSPAN9	AGPAT4
MTMR11	AGPAT4
EHD2	AGPAT4
FAS	AGPAT4
RNASET2	AGPAT4
ARHGAP33	BTN3A1
ADGRA2	BTN3A1
HCCS	MIPEP
DNAJC11	MIPEP
SLC25A13	IFNGR1
DHX33	IFNGR1
LAS1L	B4GALT7
SPPL2B	B4GALT7
APBA3	B4GALT7
HEBP1	B4GALT7
NCAPH2	B4GALT7
TOMM34	B4GALT7
PAFAH1B1	VRK2
ZMYND11	VRK2
AGPS	VRK2
ELOVL5	TNFRSF1B
ALS2	VEZT
RPAP3	VEZT
CSDE1	VEZT
VTA1	VEZT
RNH1	BRD9
RBM6	SNX1
ZNF195	SNX1
LUC7L	SNX1
NADK	SNX1
AKAP8L	SNX1
SS18L2	TBPL1
MYCBP2	BCLAF1
SNX11	SLC39A9
GLT8D1	SLC39A9
KIAA0100	RABEP1
UBE3C	RABEP1
VTA1	RABEP1
RANBP9	RABEP1
ELOA	RABEP1
ATP2C1	RABEP1
RALBP1	RABEP1
SPAST	RABEP1
RNF10	RABEP1
VEZT	RABEP1
HEATR5B	NUP160
MBTD1	NUP160
MRE11	NUP160
LASP1	ARHGAP31
CASP10	ARHGAP31
FARP2	SARS1
BRD9	SARS1
RNH1	RANBP3
BRD9	RANBP3
MRE11	ARID4A
NDUFAB1	EIPR1
GGCT	EIPR1
TSR3	EIPR1
MPND	EIPR1
COX15	EIPR1
MIPEP	EIPR1
BAK1	EIPR1
PIGQ	PNPLA6
LRRC23	PNPLA6
ZNF839	IFT88
ZNF195	ZCCHC8
NUP160	ZCCHC8
SPAG9	ABCF2
UTP18	ABCF2
ANKIB1	UBA6
POMT2	ATP6V0A1
CALCOCO1	ATP6V0A1
TSPAN9	TMSB10
PLAUR	TMSB10
ELOVL5	TMSB10
CD74	TMSB10
AGPAT4	TMSB10
SLC25A13	RNF19A
REV3L	RNF19A
MAP4K5	RNF19A
IFNGR1	RNF19A
VPS50	PEX3
RPAP3	PEX3
RALA	PEX3
VTA1	PEX3
ARF5	GABARAPL2
AP2B1	GABARAPL2
ELAC2	GABARAPL2
NUDCD3	GABARAPL2
ST7	SH3YL1
CROT	FAM136A
POLR3B	FAM136A
MIPEP	FAM136A
BAK1	FAM136A
EIPR1	FAM136A
ZMYND11	NSMAF
DHX33	ADSS2
SEC63	ADSS2
IFNGR1	ADSS2
CFH	TIMP2
LASP1	TIMP2
TMEM176A	TIMP2
MCUB	TIMP2
ARSD	TIMP2
PHLDB1	TIMP2
FAS	TIMP2
CD44	TIMP2
AGPAT4	TIMP2
TMSB10	TIMP2
VPS50	RFC1
RPAP3	RFC1
VTA1	RFC1
GCLC	TBC1D23
HEATR5B	TBC1D23
BTBD7	TBC1D23
ATP2C1	TBC1D23
ALS2	CUL3
KIAA0100	CUL3
SPAG9	CUL3
RABGAP1	CUL3
VRK2	CUL3
VEZT	CUL3
M6PR	ZZZ3
PAFAH1B1	ZZZ3
AGPS	ZZZ3
SEC63	ZZZ3
LASP1	TUBG2
PLXND1	TUBG2
ARHGAP33	TUBG2
PHLDB1	TUBG2
EHD2	TUBG2
VIM	TUBG2
AGPAT4	TUBG2
DPM1	RPL26L1
DYRK4	RPL26L1
M6PR	NSUN2
TTC19	NSUN2
STRAP	NSUN2
SEC63	NSUN2
KPNA6	NSUN2
SARS1	NSUN2
CREBBP	FBXO42
FBXL3	FBXO42
BAZ1B	FBXO42
RANBP9	FBXO42
BTBD7	FBXO42
RNF216	FBXO42
ABHD5	MFAP3
SPPL2B	MRI1
DHX33	METTL1
PIK3C2A	PI4K2B
ST7L	BOD1L1
MBTD1	BOD1L1
MRE11	BOD1L1
DPM1	MAT2B
AKAP8L	EDC4
WIZ	EDC4
RUFY3	TRIO
CFH	VCAN
TMEM176A	VCAN
PLAUR	VCAN
ELOVL5	VCAN
WWTR1	VCAN
CD44	VCAN
RHBDD2	CLEC16A
PRICKLE3	CLEC16A
PSMC4	CLEC16A
ABCF2	CLEC16A
PAFAH1B1	MTREX
ST7L	MTREX
RABGAP1	MTREX
UFL1	MTREX
ZMYND11	MTREX
AGPS	MTREX
STRAP	MTREX
NSUN2	MTREX
MAP4K3	ZFYVE16
SH3YL1	ZFYVE16
ZNF263	RIPOR1
NISCH	RIPOR1
PTBP1	RIPOR1
MCUB	RAI14
TMEM98	RAI14
PLAUR	RAI14
ELOVL5	RAI14
HGF	RAI14
FAS	RAI14
AGPAT4	RAI14
TMSB10	RAI14
TIMP2	RAI14
VCAN	RAI14
LAS1L	PNKP
DVL2	PNKP
RNH1	PNKP
MRI1	PNKP
HCCS	STAU2
IBTK	STAU2
GDE1	STAU2
PNPLA4	STAU2
NFIX	STAU2
UQCRC1	STAU2
NDUFS1	STAU2
RRAGD	STAU2
SNX11	SLC66A1
RHBDD2	SLC66A1
WIZ	SLC66A1
PSMC4	SLC66A1
CALCOCO1	CTNS
ATP6V0A1	CTNS
BAZ1B	PHF23
EEF1AKNMT	PHF23
WIZ	PHF23
ABCF2	PHF23
CLEC16A	PHF23
SLC66A1	PHF23
AP2B1	INPP4A
VPS41	INPP4A
IDS	INPP4A
ALS2	PSMA4
PAFAH1B1	PSMA4
VEZT	PSMA4
M6PR	LSG1
WIZ	LSG1
ERP44	LSG1
STRAP	LSG1
ZZZ3	LSG1
COX15	PARP3
EIPR1	PARP3
FAM136A	PARP3
AGA	PARP3
CD44	TNC
PAF1	THAP3
POLA2	THAP3
NR1H3	RIPOR3
PSMC4	AIFM2
SLC66A1	AIFM2
VPS41	SPATA7
RBM5	MED17
REX1BD	AP2S1
PPP5C	AP2S1
SLC25A39	AP2S1
GRN	AP2S1
KDM7A	DCUN1D1
ZRANB1	DCUN1D1
VCL	DCUN1D1
PLAUR	LCP2
AGPAT4	LCP2
