A	B
PLEKHB1	COL9A2
DAPK2	COL9A2
ADIPOR2	VAMP3
BRCA1	VAMP3
VRK2	VAMP3
RAI14	VAMP3
WWC3	VAMP3
MAP4	VAMP3
SYPL1	LTBP1
RAI14	LTBP1
IDS	NEXMIF
XK	NEXMIF
ATP6V1H	DKK3
NEDD4L	DKK3
AASS	LIMA1
MAP4K5	LIMA1
SLC6A13	LAMC3
DCN	LAMC3
ADGRA2	LAMC3
MDH1	MAPK9
PLEKHB1	HOMER3
CD99	HEBP2
TMEM176A	HEBP2
MGST1	HEBP2
ST3GAL1	HEBP2
WWTR1	HEBP2
EHD2	HEBP2
VIM	HEBP2
CAPG	HEBP2
CAMKK1	FSTL4
CACNG3	FSTL4
DLX6	FSTL4
SYN1	FSTL4
CAMK1G	FSTL4
SYT7	FSTL4
NCDN	FSTL4
GABRA1	FSTL4
SYPL1	FOXN3
WWC3	FOXN3
TMEM132A	AKR7A2
HOMER3	AKR7A2
TMEM159	NNAT
GUCA1A	NNAT
CASP10	LAMA3
CD74	KCNQ1
ADAM28	KCNQ1
TSR3	PHPT1
RPS20	PHPT1
CACNG3	PTPRN
CAMK1G	PTPRN
DPF1	PTPRN
NCDN	PTPRN
TOMM34	PTPRN
FSTL4	PTPRN
FGR	FOXC1
CASP10	FOXC1
TFPI	FOXC1
ADGRA2	FOXC1
CASP10	SYNE2
LAMA3	SYNE2
SLC25A13	PLEKHH1
LAMP2	PLEKHH1
TMEM98	PLEKHH1
ADIPOR2	PLEKHH1
MYLIP	PLEKHH1
CD9	PLEKHH1
ANLN	PLEKHH1
CD22	PLEKHH1
SEMA3B	PLEKHH1
CLDN11	PLEKHH1
CLCA4	PLEKHH1
PHLDB1	PLEKHH1
VRK2	PLEKHH1
DAPK2	PLEKHH1
CDH1	PLEKHH1
COL9A2	PLEKHH1
UPP2	CBLN4
GABRA3	CBLN4
KCNG1	CBLN4
RAB27B	CBLN4
ARHGAP6	CBLN4
CAMKK1	KCNH2
MARK4	KCNH2
SYT7	KCNH2
DKK3	CYFIP2
PAX6	PHF21B
RHBDF1	PHF21B
MGST1	PHF21B
CHDH	PHF21B
ADIPOR2	TRAF1
BRCA1	TRAF1
TMEM176A	IL17RB
PAX6	IL17RB
MGST1	IL17RB
ARHGAP31	IL17RB
PHF21B	IL17RB
MAP2K3	TRAF3IP2
LRRC23	GYG2
DNAH5	GYG2
TMEM159	PKP2
RAB27B	PKP2
NNAT	PKP2
CBLN4	PKP2
LAMP2	TMCC3
TMEM98	TMCC3
ADIPOR2	TMCC3
MYLIP	TMCC3
CD9	TMCC3
ANLN	TMCC3
CD22	TMCC3
SEMA3B	TMCC3
CLDN11	TMCC3
PHLDB1	TMCC3
VRK2	TMCC3
GAB2	TMCC3
DAPK2	TMCC3
RAI14	TMCC3
MAP4	TMCC3
COL9A2	TMCC3
PLEKHH1	TMCC3
TTC22	LAMC2
TMEM159	LAMC2
KCNG1	LAMC2
ARHGAP6	LAMC2
GUCA1A	LAMC2
CBLN4	LAMC2
SYT13	RASGRF1
CAMKK1	CAMK2B
CACNG3	CAMK2B
TAC1	CAMK2B
DLX6	CAMK2B
MATK	CAMK2B
CAMK1G	CAMK2B
RHOBTB2	CAMK2B
CCDC88C	CAMK2B
NCDN	CAMK2B
CYP46A1	CAMK2B
FSTL4	CAMK2B
KCNH2	CAMK2B
CD74	TBXAS1
ADAM28	TBXAS1
TFPI	PARP12
PLXND1	PARP12
MVP	PARP12
FKBP4	MXD1
HSPA5	MXD1
CACNG3	PSD
TTC22	PSD
MATK	PSD
CAMK1G	PSD
TMEM159	PSD
NCDN	PSD
CYP46A1	PSD
GUCA1A	PSD
TEAD3	YBX3
SLC11A1	YBX3
SERPINB1	YBX3
TNFRSF1B	YBX3
CAMKK1	STYK1
CACNG3	STYK1
DLX6	STYK1
CAMK1G	STYK1
TMEM159	STYK1
NCDN	STYK1
FSTL4	STYK1
PSD	STYK1
ADIPOR2	WNK1
ANLN	WNK1
BRCA1	WNK1
VRK2	WNK1
GAB2	WNK1
DAPK2	WNK1
RAI14	WNK1
SPDL1	WNK1
WWC3	WNK1
MAP4	WNK1
TMCC3	WNK1
STAB1	GNA15
CD74	GNA15
MAP3K9	RIMBP2
SYN1	RIMBP2
SLC7A14	RIMBP2
SYT13	RIMBP2
NRXN3	RIMBP2
GABRA1	RIMBP2
XK	RIMBP2
NEXMIF	RIMBP2
FSTL4	RIMBP2
PTPRN	RIMBP2
CDK11A	HDAC7
CACNG3	LZTS1
MATK	LZTS1
NCDN	LZTS1
CYP46A1	LZTS1
CAMK2B	LZTS1
PSD	LZTS1
KLHL13	GUCY1B1
ARHGAP44	GUCY1B1
IDS	GUCY1B1
MDH1	GUCY1B1
NRXN3	GUCY1B1
AKAP11	GUCY1B1
LRRC7	GUCY1B1
XK	GUCY1B1
RIMBP2	GUCY1B1
POMT2	SFSWAP
CAMKK1	DGAT2
CACNG3	DGAT2
DLX6	DGAT2
CAMK1G	DGAT2
SYT7	DGAT2
CCDC88C	DGAT2
NCDN	DGAT2
TOMM34	DGAT2
CYP46A1	DGAT2
FSTL4	DGAT2
PTPRN	DGAT2
CAMK2B	DGAT2
STYK1	DGAT2
GRN	POLD1
CAMKK1	SEZ6
CACNG3	SEZ6
DLX6	SEZ6
SYN1	SEZ6
CAMK1G	SEZ6
SYT7	SEZ6
CCDC88C	SEZ6
NCDN	SEZ6
LRRC7	SEZ6
CYP46A1	SEZ6
FSTL4	SEZ6
