A	B
OSBPL5	OGFR
TNFRSF1B	OGFR
CYBA	OGFR
RELT	GNA15
ABCB4	MPC1
PNPLA4	MPC1
RRAGD	MPC1
ALOX5	BCAT1
CAPG	BCAT1
NADK	HDAC7
PDK2	CS
RRAGD	CS
MIPEP	CS
USP28	CS
USP13	CS
HGF	VMP1
CD44	VMP1
RAI14	VMP1
USP36	VMP1
MXD1	VMP1
ZC3H3	POLD1
CTDP1	POLD1
SPPL2B	BICRA
RIPOR1	BICRA
B4GALT7	RPL18
FUZ	ADCK1
PHPT1	ADCK1
USP13	LIMCH1
TSPOAP1	TSPAN32
ANK1	TSPAN32
EPN3	TSPAN32
ADAM22	CDON
NRIP2	CDON
ABHD5	HIPK2
VCL	HIPK2
DCBLD2	HIPK2
GDE1	BTBD1
STAU2	BTBD1
SEMA3F	SBNO2
RPUSD1	HMG20B
PNPLA6	HMG20B
SLC66A1	HMG20B
POLD1	HMG20B
SKAP2	CALCRL
KITLG	CALCRL
ADCK1	ZNF76
TSPOAP1	NTHL1
TSPAN32	NTHL1
TFPI	DGKA
NADK	DGKA
PTBP1	DGKA
VIM	DGKA
PI4K2B	DGKA
RCN1	DGKA
SOAT1	DGKA
GPM6B	ERBB3
FUT8	ANKRD44
CNTLN	ANKRD44
ARHGAP6	ANKRD44
LIMA1	ANKRD44
PLXND1	PDIA5
VIM	PDIA5
PI4K2B	PDIA5
DGKA	PDIA5
PNPLA4	NDUFB4
RRAGD	NDUFB4
MCUB	FAM107B
MRC2	FAM107B
MAMLD1	FAM107B
HGF	FAM107B
VIM	FAM107B
FAS	FAM107B
CD44	FAM107B
AGPAT4	FAM107B
TIMP2	FAM107B
VCAN	FAM107B
RAI14	FAM107B
EPHA3	FAM107B
KITLG	FAM107B
LIMA1	FAM107B
FOXC1	FAM107B
MXD1	FAM107B
ELOVL5	MTHFD2
METTL1	MTHFD2
TMEM132A	TIE1
CCDC88C	TIE1
CDON	MPPED2
MAP4K5	TRAM1
ADSS2	TRAM1
MCUB	TNFRSF1A
NADK	TNFRSF1A
TMSB10	TNFRSF1A
METTL1	TNFRSF1A
RAI14	TNFRSF1A
RELT	TNFRSF1A
MTHFD2	TNFRSF1A
HOMER3	CACNB1
AGPAT4	TRO
PPP1R3F	PRKCZ
PKP2	PRKCZ
TMEM159	ROGDI
USP2	ROGDI
ADCK1	ROGDI
MTMR11	PDZD4
SEMA3F	HYAL2
IL32	RASSF1
CD9	RASSF1
PTBP1	RASSF1
PLAUR	RASSF1
TYMP	RASSF1
FAS	RASSF1
AGPAT4	RASSF1
TMSB10	RASSF1
FLT4	RASSF1
SLC2A3	RASSF1
CASP10	IFI35
TNFRSF1B	IFI35
TMSB10	IFI35
CYBA	IFI35
OGFR	IFI35
IFFO1	PLEKHH3
ZNF263	TFE3
SEC61A1	TFE3
ELOVL1	TFE3
ELOVL1	FTSJ1
CCDC28A	IP6K2
NR1H3	IP6K2
ARHGAP33	RASGRP2
REX1BD	RASGRP2
OSBPL7	RASGRP2
LUC7L	RASGRP2
NR1H3	RASGRP2
CROCC	RASGRP2
IP6K2	RASGRP2
WNK1	PSME4
TSPOAP1	PYGM
ASB4	PYGM
TKTL1	PYGM
