name1	name2
PEX13	RREB1
PEX13	BUB1B
PEX13	TMEM216
PEX13	PEX7
PEX13	TBL2
PEX13	LIMK1
PEX13	GTF2IRD1
PEX13	CLIP2
PEX13	BAZ1B
PEX13	GTF2I
PEX13	RFC2
PEX13	RAB3GAP2
PEX13	MAP2K1
PEX13	SMC3
PEX13	KCNAB2
PEX13	GABRD
PEX13	PRDM16
PEX13	RERE
PEX13	WASHC5
PEX13	CEP57
PEX13	B3GLCT
PEX13	HSD17B4
PEX13	BUB3
PEX13	BUB1
PEX13	B9D1
PEX13	KAT6A
PEX13	AHI1
PEX13	NIPBL
PEX13	HYLS1
PEX13	CSPP1
PEX13	TMEM231
PEX13	SMC1A
PEX13	ACOX1
PEX13	OCLN
MED23	SBF1
MED23	ZMYND11
MED23	HPD
MED23	DNAJC6
MED23	ATP8A2
MED23	WDR81
MED23	VLDLR
MED23	CA8
MED23	AP4B1
MED23	GPT2
MED23	RNASEH2C
MED23	ANO10
MED23	SLC25A15
MED23	UROC1
MED23	MCPH1
MED23	RARS
MED23	GRN
MED23	FTL
MED23	EDC3
MED23	ACO2
MED23	DHTKD1
MED23	ARSA
MED23	ALDH4A1
MED23	TECR
MED23	DPYD
MED23	CHMP1A
MED23	CYP27A1
MED23	ST3GAL5
MED23	GRIN2A
MED23	MAOA
MED23	SPG11
MED23	POLR3B
MED23	SEPSECS
MED23	KCNQ2
MED23	QDPR
MED23	DPYS
MED23	PGAP1
MED23	BCKDHA
MED23	BCKDHB
MED23	DBT
MED23	UGT1A1
MED23	PGAP2
MED23	TRMT10A
MED23	NRXN1
MED23	PNPT1
MED23	ARHGEF6
MED23	ZNF711
MED23	SYP
MED23	FTSJ1
MED23	PTCHD1
MED23	CNKSR2
MED23	ZNF81
MED23	FRMPD4
MED23	CLCN4
MED23	USP27X
MED23	GDI1
MED23	ZNF41
MED23	AGTR2
MED23	RLIM
MED23	TSPAN7
MED23	AP4M1
MED23	ARFGEF2
MED23	ITPR1
MED23	FA2H
MED23	ZFYVE26
MED23	CTSD
MED23	NUP62
MED23	LINS1
MED23	ANK3
MED23	FMN2
MED23	PAH
MED23	FAM126A
MED23	GCH1
MED23	LCA5
MED23	KCNJ13
MED23	RD3
MED23	TAT
MED23	TUSC3
MED23	IYD
MED23	MAT1A
MED23	TPP1
MED23	CCDC88C
MED23	PRODH
MED23	CACNG2
MED23	DMXL2
MED23	DDHD2
MED23	LAMC3
MED23	AASS
MED23	NECAP1
MED23	PCDH15
MED23	ERLIN2
MED23	MTHFR
MED23	USH1C
MED23	MYO7A
MED23	MCOLN1
MED23	CHKB
MED23	NGLY1
MED23	KATNB1
MED23	ASPA
MED23	ALDH5A1
MED23	PC
MED23	VRK1
MED23	ADGRG1
MED23	DEPDC5
MED23	TUBB2B
MED23	LHX3
MED23	ETHE1
MED23	ALDH7A1
MED23	KIF4A
MED23	ARHGEF9
MED23	ACAT1
MED23	SPG21
MED23	WASHC4
MED23	SFXN4
MED23	OPA3
MED23	SASS6
MED23	NGF
MED23	CLN5
MED23	HEPACAM
MED23	MTRR
MED23	AP4S1
MED23	MED17
MED23	TMPRSS6
MED23	NPC1
MED23	ENTPD1
MED23	PNKP
MED23	DARS
MED23	L2HGDH
MED23	CEP83
MED23	NTRK1
MED23	TBC1D24
MED23	MANBA
MED23	ADAR
MED23	PRKRA
MED23	RNASEH2B
MED23	PSPH
MED23	SRPX2
MED23	ATCAY
MED23	HADH
MED23	NAT8L
MED23	STIL
MED23	TUBA8
MED23	SYNGAP1
MED23	SLC6A19
MED23	UPB1
MED23	SOBP
MED23	SYNJ1
MED23	HCN1
MED23	GALE
MED23	PIGW
MED23	GAN
MED23	SERAC1
MED23	DAG1
MED23	PPT1
MED23	ROGDI
MED23	MICU1
MED23	KHDC3L
MED23	FAR1
MED23	GATM
MED23	CNNM2
MED23	CLN8
MED23	RNASET2
MED23	EGF
MED23	TH
MED23	PTPRQ
MED23	GRM1
MED23	GLUD1
MED23	KARS
MED23	SLC36A2
MED23	SLC6A20
MED23	ARG1
MED23	CERS1
MED23	CYP2C19
MED23	PMPCA
MED23	RPIA
MED23	CNTN2
MED23	GM2A
MED23	ADAT3
MED23	MTR
MED23	GAD1
MED23	CWF19L1
MED23	SLITRK6
MED23	C12orf65
MED23	NT5C2
MED23	CDH15
MED23	SLC5A5
MED23	DUOX2
MED23	RUBCN
MED23	ADSL
MED23	DLAT
MED23	SACS
MED23	ATP6AP2
MED23	CPS1
MED23	GSS
MED23	SLC4A4
MED23	KANK1
MED23	PRSS12
MED23	MCCC1
MED23	COQ2
MED23	CYP2U1
MED23	ASS1
MED23	TTI2
MED23	TPRN
MED23	SLC6A3
MED23	CLPB
MED23	TARS2
MED23	GPSM2
MED23	AHCY
MED23	CDK5RAP2
MED23	GRIN2B
MED23	NLGN4X
MED23	SZT2
MED23	XPNPEP3
MED23	TTC19
MED23	CEP135
MED23	COX15
MED23	MLC1
MED23	SPTBN2
MED23	NDE1
MED23	RTTN
MED23	SUCLA2
MED23	PDSS1
MED23	HSPD1
MED23	GPI
MED23	GRIK2
MED23	FBXO31
MED23	COG5
MED23	NDST1
MED23	MTMR2
MED23	PLA2G6
MED23	SLC19A3
MED23	PCBD1
MED23	PTS
MED23	SAMHD1
MED23	SLC35A3
MED23	DIP2B
MED23	GAMT
MED23	DNAL4
MED23	WDR62
MED23	CIB2
MED23	CPA6
MED23	SURF1
MED23	C2CD3
MED23	CDK6
MED23	GLYCTK
MED23	SLC25A12
MED23	USH1G
MED23	CYB5R3
MED23	METTL23
MED23	KIRREL3
MED23	SLC6A17
MED23	NDUFA9
MED23	NDUFA10
MED23	NDUFAF2
MED23	NDUFAF6
MED23	NDUFS3
MED23	NDUFS4
MED23	FOXRED1
MED23	NDUFS7
MED23	NDUFA2
MED23	NDUFS8
MED23	NDUFA12
MED23	COG8
MED23	CORO1A
MED23	VAX1
MED23	CCDC88A
MED23	ASPM
MED23	PHC1
MED23	KNL1
MED23	CEP63
MED23	FTCD
MED23	RNASEH2A
MED23	SPR
MED23	COASY
MED23	CLN3
MED23	PDHX
MED23	CC2D1A
MED23	SPART
MED23	ATP5F1E
MED23	FOLR1
MED23	TPK1
MED23	EPB41L1
MED23	TRH
MED23	UQCRQ
MED23	CYP26C1
MED23	SLC9A1
MED23	LARP7
MED23	MPDZ
MED23	STT3A
MED23	D2HGDH
MED23	PGAP3
MED23	TAF2
MED23	ISCA2
MED23	LAMB1
MED23	SLC35C1
MED23	KYNU
MED23	CRADD
MED23	GRIN1
MED23	MTPAP
MED23	NIN
MED23	LTC4S
MED23	RAD50
MED23	NPC2
MED23	DDX59
MED23	PYCR2
MED23	PDP1
MED23	AMT
MED23	GLDC
MED23	GCSH
MED23	KCTD7
MED23	VPS53
MED23	VPS37A
MED23	KPTN
MED23	SPATA5
HSD17B3	LHB
HSD17B3	MAP3K1
HSD17B3	SRD5A2
HSD17B3	PGR
HSD17B3	AMH
HSD17B3	AMHR2
HSD17B3	STAR
HSD17B3	CBX2
HSD17B3	SRY
HSD17B3	NR5A1
HSD17B3	CATSPER1
HSD17B3	NR0B1
HSD17B3	FSHB
HSD17B3	SPATA16
HSD17B3	CCDC141
HSD17B3	GNRH1
HSD17B3	GNRHR
HSD17B3	AXL
HSD17B3	SRA1
HSD17B3	DAZ1
HSD17B3	RBMY1A1
HSD17B3	TSPY1
HSD17B3	DDX3Y
HSD17B3	DAZ3
HSD17B3	USP9Y
HSD17B3	DAZ2
HSD17B3	DAZ4
HSD17B3	KHDC3L
HSD17B3	ZP1
HSD17B3	CYP2C19
HSD17B3	ZMYND15
HSD17B3	MCM8
HSD17B3	TAF4B
HSD17B3	TEX11
HSD17B3	CYP17A1
HSD17B3	CYB5A
HSD17B3	AURKC
HSD17B3	LEP
HSD17B3	DMRT1
HSD17B3	CYP26C1
HSD17B3	AKR1C2
HSD17B3	VAMP7
PTPN3	SLCO1B1
PTPN3	SLCO1B3
PTPN3	ABCC2
PTPN3	IL12A
PTPN3	SPIB
PTPN3	IL12RB1
PTPN3	POU2AF1
PTPN3	MMEL1
PTPN3	TNPO3
PTPN3	TNFSF15
RPL10	PIEZO2
RPL10	MED12
RPL10	NAA10
RPL10	EHMT1
AQP5	KRT1
AQP5	CARD14
AQP5	SLC17A9
AQP5	PKP1
AQP5	KRT10
AQP5	TGM5
AQP5	CSTA
FREM1	ALX4
FREM1	TWIST2
FREM1	SPECC1L
FREM1	MID1
FREM1	ALX1
FREM1	FBXO31
FREM1	FRAS1
FREM1	GRIP1
FREM1	FREM2
PRKDC	ERCC6
PRKDC	OPHN1
PRKDC	OFD1
PRKDC	QARS
PRKDC	RAB18
PRKDC	TBCE
PRKDC	ACTB
PRKDC	KIF7
PRKDC	ACTG1
PRKDC	SPECC1L
PRKDC	BUB1B
PRKDC	RAB3GAP1
PRKDC	RAB3GAP2
PRKDC	TBC1D20
PRKDC	KIF1BP
PRKDC	TUBGCP6
PRKDC	ZBTB18
PRKDC	CDK5RAP2
PRKDC	TRAPPC9
PRKDC	ERCC1
PRKDC	CLP1
CCDC114	DNAAF4
CCDC114	CCDC40
CCDC114	RASSF1
CCDC114	MAP3K8
CCDC114	PPP2R1B
CCDC114	SPAG1
CCDC114	ZMYND10
CCDC114	TNFRSF13B
CCDC114	AICDA
CCDC114	JAGN1
CCDC114	DNAAF5
CCDC114	CCDC151
CCDC114	RSPH9
CCDC114	CR2
CCDC114	CCDC103
CCDC114	LRRC6
CCDC114	DNAL1
CCDC114	MS4A1
CCDC114	IRAK4
CCDC114	ARMC4
CCDC114	FCGR3A
CCDC114	CD79B
CCDC114	RSPH1
CCDC114	DNAI2
CCDC114	FCN3
CCDC114	CFAP298
CCDC114	CD8A
CCDC114	CCDC65
CCDC114	DNAAF1
CCDC114	KHDC3L
CCDC114	CD19
CCDC114	TNFRSF13C
CCDC114	ICOS
CCDC114	CD81
CCDC114	CYP2C19
CCDC114	TBX21
CCDC114	TAP1
CCDC114	TAP2
CCDC114	TAPBP
CCDC114	CD79A
CCDC114	RSPH4A
CCDC114	RSPH3
CCDC114	BLNK
CCDC114	IGHM
CCDC114	IGLL1
CCDC114	CCNO
CCDC114	MASP2
CCDC114	DNAAF3
CCDC114	DNAH11
CCDC114	IL21R
CCDC114	DNAJB13
CCDC114	DNAAF2
CCDC114	DNAI1
CCDC114	DRC1
CCDC114	TTC25
CCDC114	DNAH5
CCDC114	CCDC39
CCDC114	HYDIN
CCDC114	NME8
CCDC114	GAS8
CCDC114	CYP26C1
CCDC114	CSF2RB
CCDC114	EIF2AK4
DCX	ATP8A2
DCX	WDR81
DCX	VLDLR
DCX	CA8
DCX	GJC2
DCX	RARS
DCX	ACO2
DCX	TUBB3
DCX	FKTN
DCX	POLR3B
DCX	KCNQ2
DCX	PSAP
DCX	GFM1
DCX	LARGE1
DCX	ZNF711
DCX	CLCN4
DCX	GDI1
DCX	ARX
DCX	TSPAN7
DCX	ARFGEF2
DCX	FA2H
DCX	FMN2
DCX	FAM126A
DCX	POMK
DCX	POMGNT1
DCX	POLG
DCX	POMT2
DCX	DDHD2
DCX	STT3B
DCX	KATNB1
DCX	STXBP1
DCX	TUBB2B
DCX	NEXMIF
DCX	POMT1
DCX	ARHGEF9
DCX	PLP1
DCX	HEPACAM
DCX	MED17
DCX	PNKP
DCX	FKRP
DCX	DARS
DCX	TSEN54
DCX	GRID2
DCX	PSPH
DCX	TUBA8
DCX	B4GAT1
DCX	KCNC3
DCX	WWOX
DCX	TUBG1
DCX	NARS2
DCX	THOC2
DCX	GRM1
DCX	ADAT3
DCX	KIF5C
DCX	CWF19L1
DCX	DLAT
DCX	ATP6AP2
DCX	CYP2U1
DCX	AUH
DCX	CLPB
DCX	TARS2
DCX	MLC1
DCX	SPTBN2
DCX	NDE1
DCX	RTTN
DCX	HSPD1
DCX	PLA2G6
DCX	PTS
DCX	WDR62
DCX	TUBB2A
DCX	TUBA1A
DCX	NDUFAF2
DCX	NDUFS3
DCX	NDUFS4
DCX	FOXRED1
DCX	SPR
DCX	SLC9A1
DCX	VARS2
DCX	STT3A
DCX	SPTAN1
DCX	LTC4S
DCX	KIF2A
DCX	VPS53
DCX	EXOSC3
DCX	SPATA5
TYRP1	OCA2
TYRP1	TYR
TYRP1	CACNA1F
TYRP1	SLC45A2
TYRP1	HPS5
TYRP1	MYO5A
TYRP1	BLOC1S3
TYRP1	MLPH
TYRP1	MITF
TYRP1	LPAR6
TYRP1	KRT71
TYRP1	LIPH
TYRP1	KRT74
TYRP1	DTNBP1
TYRP1	KHDC3L
TYRP1	HPS1
TYRP1	CYP2C19
TYRP1	HPS4
TYRP1	BLOC1S6
TYRP1	LRMDA
TYRP1	HPS6
TYRP1	GPR143
TYRP1	CYP26C1
CHCHD10	DNAJC6
CHCHD10	PLEKHG5
CHCHD10	FUS
CHCHD10	SDHA
CHCHD10	PRNP
CHCHD10	SMN1
CHCHD10	GARS
CHCHD10	DCTN1
CHCHD10	TREM2
CHCHD10	SPG11
CHCHD10	VAPB
CHCHD10	SLC52A3
CHCHD10	SNAP25
CHCHD10	SOD1
CHCHD10	PPP2R2B
CHCHD10	MECP2
CHCHD10	VCP
CHCHD10	SLC52A2
CHCHD10	HSPB1
CHCHD10	REEP1
CHCHD10	AARS2
CHCHD10	SYNE1
CHCHD10	RRM2B
CHCHD10	POLG
CHCHD10	RNASEH1
CHCHD10	ASAH1
CHCHD10	SQSTM1
CHCHD10	ERLIN2
CHCHD10	ALS2
CHCHD10	VPS13A
CHCHD10	TWNK
CHCHD10	GJB1
CHCHD10	ATP1A3
CHCHD10	SPG21
CHCHD10	ACTA1
CHCHD10	PLP1
CHCHD10	FIG4
CHCHD10	SETX
CHCHD10	PFN1
CHCHD10	PON1
CHCHD10	PON2
CHCHD10	PON3
CHCHD10	NEFH
CHCHD10	DAO
CHCHD10	TARDBP
CHCHD10	PPARGC1A
CHCHD10	ERBB4
CHCHD10	OPTN
CHCHD10	UBQLN2
CHCHD10	ANG
CHCHD10	C9orf72
CHCHD10	ATXN2
CHCHD10	HNRNPA1
CHCHD10	UNC13A
CHCHD10	MATR3
CHCHD10	TBK1
CHCHD10	CHMP2B
CHCHD10	EPHA4
CHCHD10	PRPH
CHCHD10	SYNJ1
CHCHD10	PSEN1
CHCHD10	DNAJB2
CHCHD10	AFG3L2
CHCHD10	DDHD1
CHCHD10	MFN2
CHCHD10	COX6A1
CHCHD10	HSPB3
CHCHD10	TTC19
CHCHD10	FBXO38
CHCHD10	PCNA
CHCHD10	SIGMAR1
CHCHD10	PLA2G6
CHCHD10	VAMP1
CHCHD10	SLC5A7
CHCHD10	ATXN3
CHCHD10	TGM6
CHCHD10	NDUFAF2
CHCHD10	NDUFS3
CHCHD10	NDUFS4
CHCHD10	FOXRED1
CHCHD10	KIF1C
CHCHD10	SYT2
CHCHD10	COASY
CHCHD10	C19orf12
CHCHD10	SPART
CHCHD10	CPT1C
CHCHD10	LRSAM1
CHCHD10	KCTD17
CHCHD10	MTPAP
CASK	SMARCB1
CASK	CC2D2A
CASK	ANKRD11
CASK	KCNJ6
CASK	BCOR
CASK	ALDH18A1
CASK	WDR81
CASK	ERCC6
CASK	PEX2
CASK	AP4B1
CASK	CEP290
CASK	OPHN1
CASK	ATRX
CASK	OFD1
CASK	GPT2
CASK	AHDC1
CASK	B3GALNT2
CASK	FGFR3
CASK	BRAF
CASK	KRAS
CASK	SLC12A6
CASK	FGFR1
CASK	NRAS
