name1	name2
ABCB11	SLC9B1
ABCB11	SLCO1A2
ABCB11	SLCO1B1
ABCB11	SLCO1B3
ABCB11	SLCO1C1
ABCB11	SLCO2B1
ABCB4	ATP10B
ABCB4	ATP11A
ABCB5	ABCB9
ABCB5	TAP1
ABCB5	TAP2
ABCB6	ABCB7
ABCB6	CA10
ABCB6	CTTNBP2
ABCB6	TMEM57
ABCB6	VCX2
ABCB6	VCX3A
ABCB6	VCX3B
ABCB6	VCY
ABCB7	ABCG2
ABCB7	ATP13A1
ABCB7	ATP13A3
ABCB7	ATP13A4
ABCB7	ATP13A5
ABCB7	ATP2C2
ABCB7	FLVCR2
ABCB7	FOLR3
ABCB7	MCUR1
ABCB7	MICU2
ABCB7	SFXN2
ABCB7	SFXN3
ABCB7	SFXN4
ABCB7	SFXN5
ABCB7	SLC22A17
ABCB7	SLC25A28
ABCB7	SLC25A29
ABCB7	SLC25A37
ABCB7	SLC39A14
ABCB7	SLC39A6
ABCB7	SLC39A7
ABCB7	SLC39A8
ABCB7	SLC46A1
ABCB7	SLC48A1
ABCB7	SMDT1
ABCB9	ACTR1A
ABCB9	AP1M2
ABCB9	AP1S2
ABCB9	AP1S3
ABCB9	CD1A
ABCB9	CD1B
ABCB9	CD207
ABCB9	HLA-DOB
ABCB9	KIF3C
ABCB9	SAR1B
ABCB9	SEC23A
ABCB9	SEC24C
ABCB9	TAP1
ABCB9	TAP2
ABCB9	TAPBPL
ABCC1	C2orf83
ABCC1	GIF
ABCC1	SLC19A2
ABCC1	SLC19A3
ABCC1	SLC5A6
ABCC1	TCN1
ABCC1	TCN2
ABCC11	ABCC3
ABCC11	ATP10D
ABCC11	ATP11B
ABCC11	CCT8L2
ABCC11	PCTP
ABCC11	PRELID2
ABCC11	PRELID3B
ABCC11	SLC10A6
ABCC11	SLC12A9
ABCC11	SLC13A1
ABCC11	SLC13A5
ABCC11	SLC16A2
ABCC11	SLC17A3
ABCC11	SLC1A7
ABCC11	SLC22A9
ABCC11	SLC25A19
ABCC11	SLC25A22
ABCC11	SLC25A42
ABCC11	SLC37A1
ABCC11	SLC37A2
ABCC11	SLC37A3
ABCC11	SLC38A1
ABCC11	SLC38A7
ABCC11	SLC4A4
ABCC11	SLC4A8
ABCC11	SLC4A9
ABCC11	SLCO2A1
ABCC11	SLCO2B1
ABCC11	SLCO3A1
ABCC11	SLCO4A1
ABCC2	SLC47A2
ABCC2	SLCO4A1
ABCC3	ABCG4
ABCC3	ATP10D
ABCC3	ATP11B
ABCC3	CCT8L2
ABCC3	CFHR4
ABCC3	ESYT1
ABCC3	ESYT3
ABCC3	GLTPD2
ABCC3	OSBPL2
ABCC3	OSBPL3
ABCC3	OSBPL6
ABCC3	OSBPL9
ABCC3	PLEKHA8P1
ABCC3	SLC10A1
ABCC3	SLC10A2
ABCC3	SLC10A3
ABCC3	SLC10A4
ABCC3	SLC10A5
ABCC3	SLC10A6
ABCC3	SLC12A9
ABCC3	SLC13A1
ABCC3	SLC13A4
ABCC3	SLC13A5
ABCC3	SLC16A2
ABCC3	SLC17A1
ABCC3	SLC17A2
ABCC3	SLC17A4
ABCC3	SLC17A6
ABCC3	SLC1A4
ABCC3	SLC1A7
ABCC3	SLC22A9
ABCC3	SLC25A20
ABCC3	SLC25A22
ABCC3	SLC26A10
ABCC3	SLC26A11
ABCC3	SLC34A3
ABCC3	SLC37A1
ABCC3	SLC37A2
ABCC3	SLC37A3
ABCC3	SLC38A1
ABCC3	SLC38A7
ABCC3	SLC43A1
ABCC3	SLC43A2
ABCC3	SLC4A1
ABCC3	SLC4A11
ABCC3	SLC4A3
ABCC3	SLC4A4
ABCC3	SLC4A8
ABCC3	SLC4A9
ABCC3	SLC51A
