MYO6	OCM2
MYO6	SLITRK6
MYO6	MYO3A
MYO6	TRIOBP
MYO6	SYNJ2
MYO6	TMPRSS3
MYO6	SYNE4
MYO6	ILDR1
MYO6	MARVELD2
MYO6	MSRB3
MYO6	PDZD7
MYO6	KLC2
MYO6	TPRN
MYO6	TMTC4
UCHL3	PDE6B
UCHL3	MFRP
UCHL3	RS1
UCHL3	TULP1
UCHL3	RPGRIP1
UCHL3	RHO
UCHL3	GRK1
UCHL3	NR2E3
UCHL3	NDP
UCHL3	RPE65
UCHL3	MDM1
UCHL3	NPHP4
UCHL3	RP1
UCHL3	RPGR
UCHL3	ROM1
UCHL3	PRPH2
UCHL3	RBP3
UCHL3	GJA10
UCHL3	CRB1
UCHL3	SEMA4A
UCHL3	AIPL1
UCHL3	BHLHE23
UCHL3	CABP4
UCHL3	GNGT1
UCHL3	PDE6A
UCHL3	CACNA1F
UCHL3	FSCN2
UCHL3	GNAT1
UCHL3	RDH12
UCHL3	CRX
UCHL3	PDE6D
UCHL3	GNAT2
UCHL3	RD3
UCHL3	SYNE2
UCHL3	PROM1
UCHL3	RP1L1
UCHL3	CNGB3
UCHL3	LPCAT1
UCHL3	NXNL2
UCHL3	NXNL1
UCHL3	RDH13
UCHL3	C2orf71
UCHL3	SLC24A1
UCHL3	MEF2D
UCHL3	LZTFL1
UNCX	HOXB9
UNCX	HOXC9
UNCX	HOXB6
UNCX	PHC2
UNCX	ROPN1L
VCL	GATAD2A
VTN	GP5
VTN	P2RY12
VTN	F12
SOX1	CASP6
SIX5	GDF9
SIX5	MAP7
SIX5	DMC1
SIX5	BCL2L2
SIX5	MEI1
SIX5	FSHB
SIX5	PIN1
SIX5	LHX9
SIX5	MSH5
SIX5	MORC1
SIX5	SBF1
SIX5	AMH
SIX5	ARL4A
SIX5	BMP8A
SIX5	TAF4B
SIX5	PAPOLB
SIX5	PTDSS2
SIX5	PAFAH1B2
SIX5	UTP14C
SIX5	CCNA1
SIX5	TBC1D20
SIX5	NR0B1
SIX5	DAZ2
SIX5	DAZL
SIX5	DHH
SIX5	INSL3
SIX5	P2RX1
SIX5	PPP1CC
SIX5	MAN2A2
SIX5	MLH3
SIX5	MSH4
SIX5	FKBP6
SIX5	SYCP3
SIX5	HOXA10
