GENEA	GENEB
CARS2	COX6C
C1QBP	MRPL17
ATP5ME	NDUFB2
ATG101	RB1CC1
WARS2	YARS2
VPS29	VPS35
TM2D2	TM2D3
SUPT7L	TADA2B
RPUSD4	UQCR10
RARS2	MRM3
POLG	UQCR10
NGRN	YBEY
NDUFS7	TIMMDC1
NDUFS5	SUPV3L1
NDUFC1	TFB1M
NDUFB3	UQCRQ
NDUFB2	DMAC1
NDUFAF7	SCO2
NDUFAF5	POLG
NDUFA8	TFAM
NDUFA5	NDUFB6
NDUFA2	NDUFA9
NDUFA11	WARS2
MTG2	SUPV3L1
MTERF4	NDUFS2
MTERF4	NDUFA8
MRPS5	UQCR10
MRPS31	NDUFB7
MRPS25	MTFMT
MRPS24	NDUFB5
MRPS23	SCO1
MRPS18C	PTCD3
MRPS11	SSBP1
MRPS10	QRSL1
MRPL57	SCO1
MRPL53	NDUFAF1
MRPL48	POLG2
MRPL47	MRPS35
MRPL46	NSUN4
MRPL37	NDUFB6
MRPL36	MRPS22
MRPL30	SARS2
MRPL28	YBEY
MRPL28	MRPS22
MRPL24	NDUFS5
MRPL21	NDUFB5
MRPL20	UQCR10
MRPL20	PNPT1
MRPL20	MRPL24
MRPL19	MRPL48
MRPL17	TMEM242
MRPL16	NDUFS1
MRPL14	NDUFAF4
MRPL13	MRPL38
MRPL13	MRPL36
MRPL12	MRPL49
MRPL11	MRPL22
MRPL10	NDUFB2
MRPL10	MRPL51
MCAT	NGRN
MALSU1	MTFMT
LSM5	POMP
LRPPRC	NDUFB5
KIAA0391	NDUFA2
ISCA2	KIAA0391
IBA57	MRPS18B
IBA57	MRPL38
GRSF1	MRPS23
GNPDA2	NAA35
GMPS	UMPS
GFM2	DMAC1
GFM1	YARS2
GET4	WRB
GADD45GIP1	MRPS2
GADD45GIP1	MRPL47
GADD45GIP1	MRPL14
FASTKD5	MRPL36
ERAL1	MRPL4
ECSIT	MRPL15
ECSIT	FASTKD5
EARS2	NDUFS1
EARS2	NDUFB6
DDX28	SCO1
DARS2	NDUFAF7
CYCS	UQCRFS1
CYCS	MRPL55
COX7C	UQCRQ
COX7C	NDUFB9
COX7C	MRPS24
COX7C	COX18
COX6C	MRPL28
COX5B	MRPS12
COX15	LRPPRC
COX15	KIAA0391
COQ7	NDUFAF6
COQ4	LARS2
COQ2	PDSS2
COA6	NDUFA9
COA5	MRPS25
COA3	GTPBP10
CARS2	COX5B
TWNK	MRPL49
BRPF1	KAT6A
BCS1L	MRPL12
BCS1L	COX7C
AURKAIP1	MRPL23
ATP5PF	GTPBP10
ATP5F1C	MRPL18
ATP5F1B	GRSF1
ATIC	IMPDH2
AIDA	OR1J1
ACAD9	MRPL57
ACAD9	COQ4
AARS2	PNPT1
AARS2	MRPS31
TRUB2	YBEY
SUPT7L	SUPT20H
PTCD3	RTN4IP1
PGS1	TAMM41
NDUFS2	YARS2
NDUFS2	NDUFV1
NDUFAF1	RPUSD3
NDUFA6	YBEY
NDUFA3	NDUFB10
NARS2	SCO2
MTRF1L	NDUFS2
MTPAP	NDUFAF4
MRPS6	PET100
MRPS6	PDSS1
MRPS35	VARS2
MRPS2	MTFMT
MRPS2	MRPS9
MRPS27	WARS2
MRPS24	MRPS30
MRPS23	TFB1M
MRPS18B	NDUFA2
MRPS17	UQCRC1
MRPS12	TIMMDC1
MRPS10	PTCD3
MRPL57	SSBP1
MRPL49	MRPL51
MRPL47	NDUFAF5
MRPL47	NDUFAF1
MRPL46	TIMMDC1
MRPL44	MRPS12
MRPL38	MRM3
MRPL37	WARS2
MRPL36	MRPL37
MRPL34	NDUFS8
MRPL30	MRPS27
MRPL20	MRPL36
MRPL1	MRPL18
MRPL10	NDUFS1
MAP3K7	RNF31
MALSU1	NDUFS1
MALSU1	MRPS10
LSM5	PSMA4
LRPPRC	POLRMT
LRPPRC	NDUFB2
LARS2	MRPS21
LARS2	MRPL53
KIAA0391	SCO1
KIAA0391	MRPL54
IBA57	MRPL20
GTPBP8	NDUFS8
GTPBP10	NDUFV2
GRSF1	MRPL24
GLRX5	METTL17
GATC	MRM3
MRM2	MRPL32
MRM2	MRPL58
FOXRED1	MRPS17
FKBP9	SUMF2
FASTKD5	UQCR10
FASTKD5	NDUFB5
ERAL1	NDUFB10
EARS2	NDUFB5
DARS2	MRPS31
DARS2	MRPL4
DAP3	TRMT10C
CYCS	MRPL15
CYC1	MRPL17
CWC27	OR10Z1
CTU1	URM1
COX7C	FARS2
COX5B	IBA57
COX4I1	DMAC1
COX16	TRUB2
COX16	ECSIT
COX10	NDUFB5
COX10	MRPS24
COQ2	COX11
COA7	MRPS18C
COA5	GFM2
COA5	COA7
COA3	WARS2
COA3	MRPL16
CARS2	CYC1
CARS2	COA3
TWNK	NDUFS8
ATP5PF	LRPPRC
ATP5PF	FARS2
ATP5PD	ATP5PF
ATP5PB	ATP5PO
ATP5F1C	MRPS5
ATP5F1B	MRPL16
ACAD9	UQCRC2
ACAD9	EARS2
AARS2	SUPV3L1
AARS2	NGRN
VPS52	VPS54
TARS2	TFB1M
RPUSD4	SCO2
PNPT1	UQCRC2
NSUN4	RPUSD4
NOA1	RTN4IP1
NDUFB6	YARS2
NDUFB2	MRM3
NDUFAF5	WARS2
NDUFAF1	TRUB2
NDUFA2	MRM3
MTERF3	NDUFB10
MTERF3	NDUFA8
MRPS9	MRPS22
MRPS7	MRPS16
MRPS6	NDUFB9
MRPS6	NDUFB4
MRPS6	NDUFB3
MRPS31	TFB1M
MRPS25	NDUFC1
MRPS24	PARS2
MRPS22	MRPS30
MRPS18B	TRMT10C
MRPS11	TRMT10C
MRPL47	TUFM
MRPL46	NDUFB8
MRPL43	NDUFAF5
MRPL43	NDUFA2
MRPL40	NDUFV2
MRPL3	UQCR10
MRPL3	SSBP1
MRPL38	NDUFB6
MRPL37	PTCD3
MRPL36	MRPL55
MRPL36	MRPL40
MRPL2	POLG
MRPL2	MRPL40
MRPL22	TRMT10C
MRPL22	MRPL28
MRPL21	NDUFA6
MRPL17	NOA1
MRPL16	MRPL44
MRPL16	MRPL30
MRPL15	NOA1
MRPL14	NDUFB5
MRPL12	MRPS21
MRPL12	MRPL30
MCAT	MRPL43
MARS2	RBFA
MARS2	MRPS7
MARS2	MRPL36
MALSU1	MRPS18A
LSM10	TXNL4B
LRPPRC	DMAC1
KIAA0391	TMEM242
KIAA0391	RBFA
KIAA0391	MRPS34
IBA57	MRPL14
GFM2	NDUFAF4
GFM2	MRPL57
MRM2	TRUB2
FASTKD5	NDUFB2
ERAL1	PTCD3
ERAL1	MRPL21
DDX28	RARS2
DDX28	NDUFA8
DAP3	YBEY
DAP3	NDUFA9
DAP3	MTG1
CYC1	GLRX5
COX5B	EARS2
COX4I1	MRPL13
COX19	FASTKD5
COX11	NDUFA8
COX10	MRPL51
COQ7	KIAA0391
COQ2	HARS2
COG7	UNC50
COA7	QRSL1
COA6	NDUFAF3
COA3	MALSU1
CARS2	NDUFB10
CARS2	COX18
ODR4	UFL1
BCS1L	RPUSD4
ATP5PF	MRPL13
ATP5ME	YARS2
ATP5ME	NDUFB4
ATP5ME	MRPS22
ATP5F1C	NDUFB10
ATP5F1C	COQ4
TRAPPC3	U2AF1
RTN4IP1	UQCRC2
NUBPL	YBEY
NDUFS8	WARS2
NDUFS1	QRSL1
NDUFB6	POLG2
NDUFB3	RTN4IP1
MTRF1L	NDUFB6
MTFMT	NDUFA8
MS4A5	ZNF99
MRPS9	POLG2
MRPS5	NDUFAF1
MRPS33	SCO2
MRPS2	TARS2
MRPS23	UQCR10
MRPS22	NARS2
MRPS18C	TARS2
MRPS18B	MRPS30
MRPS18A	MTPAP
MRPS14	TRMT10C
MRPS14	MRPS33
MRPS12	PET100
MRPS10	NDUFA10
MRPL55	NDUFV2
MRPL55	MRPS35
MRPL4	TFB1M
MRPL4	SCO1
MRPL4	MRPS18A
MRPL49	SCO1
MRPL49	NDUFAF3
MRPL39	NDUFB2
MRPL2	NDUFAF1
MRPL28	NDUFS8
MRPL28	NDUFA11
MRPL23	NDUFS2
MRPL13	UQCRC2
METTL17	NDUFS8
MARS2	TRMT10C
MALSU1	DMAC1
LRPPRC	TRMT10C
LRPPRC	RMND1
LRPPRC	MRPL1
LARS2	NDUFAF1
KIAA0391	NDUFS7
KIAA0391	NDUFB3
KIAA0391	MRPS7
KCNE2	SULT1E1
ISCA2	MRPS34
ISCA2	MRPL53
IBA57	UQCR10
HARS2	MRPL44
GRSF1	NDUFAF7
GFM2	UQCRC1
GFM2	MRPL2
GFM1	MRPL44
GATC	TFB2M
GATC	NDUFB6
MRM2	HARS2
FPGS	NAMPT
FASTKD5	MRPL10
FARS2	PET100
FARS2	NDUFB10
FAM200B	IL12RB2
ERAL1	MRPL23
EARS2	PET100
DDX28	ISCA2
DCPS	MRE11
DAP3	MRPS7
CTPS1	GART
COX5B	GTPBP10
COX19	FOXRED1
COX18	SCO1
COX16	EARS2
COX15	TARS2
COX10	MRPL39
COX10	MRPL33
COX10	LARS2
COQ4	TARS2
COQ4	DARS2
COA7	MRPL4
COA3	MRPS25
COA3	MRPS14
CARS2	POLRMT
CARS2	NDUFS7
BCS1L	NDUFB2
ATP5ME	MRPL20
ATP5F1B	MTRF1L
ALG9	OCLM
ADSS	CAD
ADAT2	RPP21
AARS2	MALSU1
TRMT61A	WDR18
TIMMDC1	WARS2
SPHAR	ZNF676
PTCD3	RPUSD4
PTCD3	MRM3
POLG	POLRMT
PET100	TRUB2
PDSS1	TRUB2
NDUFS5	RARS2
NDUFAF3	NDUFS7
NDUFAF1	NDUFV1
NDUFA6	NFU1
MTERF4	PTCD3
MS4A5	TAS2R10
MRPS9	MRPS34
MRPS6	NDUFAF3
MRPS5	SLC25A26
MRPS31	PDSS2
MRPS23	NDUFB10
MRPS22	NDUFB8
MRPS18A	SLC25A26
MRPS17	MTERF4
MRPS16	PET100
MRPS16	NUBPL
MRPS12	NDUFS5
MRPS10	NDUFAF5
MRPS10	MRPS35
MRPL57	MRPS7
MRPL49	MTG1
MRPL47	UQCR10
MRPL43	MRPS27
MRPL41	NGRN
MRPL41	MRPS25
MRPL40	NDUFA8
MRPL3	NDUFAF1
MRPL37	SSBP1
MRPL37	RTN4IP1
MRPL34	TFB2M
MRPL33	MRPS35
MRPL30	MTERF3
MRPL30	MRPS10
MRPL2	WARS2
MRPL2	PARS2
MRPL2	NDUFA2
MRPL28	MRPL44
MRPL20	YBEY
MRPL12	NDUFB5
MIPEP	MRPS10
METTL17	SCO2
METTL17	NDUFA8
METTL17	MRPS18C
METTL17	MRPL37
MALSU1	RPUSD3
MALSU1	MCAT
LRPPRC	MRPL24
KRT18	TBC1D3C
KIAA0391	POLG2
KIAA0391	PET100
KIAA0391	NDUFS1
IL12RB2	ZNF99
IBA57	MRPL33
HIGD2A	NDUFAF5
GTPBP8	MRPS31
GTPBP10	PDSS2
GTPBP10	NDUFB6
GRSF1	PTCD3
GFM1	MRPL37
MRM2	PTCD3
MRM2	NSUN4
MRM2	MRPL39
MRM2	GFM2
FASTKD5	TFB1M
FASTKD5	PDSS2
FASTKD5	MRPL37
FASTKD5	MRPL32
FASTKD5	MRPL14
FASTKD5	IBA57
ERAL1	MRPS16
ECSIT	SCO1
DDX28	UQCRC2
DARS2	NDUFS1
COX7C	MRPL21
COX6C	MRPL10
COX6B1	MRPL23
COX5B	DMAC1
COX16	VARS2
COX16	NDUFA8
COX16	MRPL15
COX15	YARS2
COX15	UQCRFS1
COX10	DARS2
COQ2	NDUFV2
COA5	MRPS33
COA3	MTG1
CARS2	NDUFB5
CARS2	NDUFAF4
C1QBP	GTPBP8
BCS1L	MRPL48
ATP5ME	NDUFS1
ATP5PB	NDUFB3
ATP5F1C	MRPS6
ATP5F1C	MRPL32
ASNSD1	GNPDA2
AARS2	METTL17
TFRC	YRDC
SPDEF	TRPS1
RTN4IP1	TRUB2
RAD1	RAD9A
POLG	UQCRB
POLG	PPA2
PDSS2	UQCRFS1
PARS2	TFAM
NFE2L1	NGLY1
NDUFV2	SCO1
NDUFS7	UQCRC1
NDUFS2	NUBPL
NDUFS1	WARS2
NDUFAF6	NDUFB10
NDUFA3	NDUFB7
MTRF1L	NDUFB8
MTERF3	MTRF1L
MRPS9	MRPS23
MRPS7	MRPS28
MRPS35	MTERF4
MRPS33	PTCD3
MRPS25	UQCRC1
MRPS18C	TRUB2
MRPS18A	MRPS18C
MRPS15	MRPS17
MRPS14	NDUFB6
MRPS14	NDUFA6
MRPS10	NSUN4
MRPL4	MRPS35
MRPL46	NDUFA10
MRPL41	NOA1
MRPL39	UQCRFS1
MRPL39	NDUFAF7
MRPL38	UQCR10
MRPL38	NDUFA8
MRPL37	MRPS12
MRPL36	NDUFV2
MRPL35	MRPS12
MRPL2	TRMT10C
MRPL2	NDUFB3
MRPL2	MRPL9
MRPL28	NDUFS2
MRPL28	MRPS18A
MRPL21	NSUN4
MRPL19	MTPAP
MRPL18	MTFMT
MRPL16	NDUFAF5
MRPL14	NDUFS5
MRPL12	PNPT1
MRPL10	UQCRC1
ISCA1	MRPS17
ILK	TLN1
IL12RB2	TATDN1
GTPBP8	NDUFA8
GTPBP8	NDUFA11
GTPBP10	MRPL53
GADD45GIP1	TFB1M
GADD45GIP1	PTCD3
GADD45GIP1	MIPEP
FKBP9	PSPH
FASTKD5	TIMMDC1
FASTKD5	MARS2
FANCC	FANCL
EIF4A3	OR1J1
ECSIT	MRPL18
EARS2	GRSF1
DPM2	DPM3
DDX28	NDUFA6
CYC1	MRPS5
COX7C	NDUFB5
COX7C	NDUFB3
COX7C	KIAA0391
COX7C	DARS2
COX6C	COX11
COX6B1	MTFMT
COX6B1	MRPS33
COX6B1	MRPS18B
COX6B1	GFM1
COX4I1	MRPL51
COX16	RARS2
COX11	COX18
COX10	MRPL55
COQ7	CYC1
COQ4	MRPL32
COQ2	NDUFS2
COA7	MRPL48
COA3	DDX28
CARS2	MRPS34
CARS2	MRPL38
TWNK	MRPL51
ATP5PF	MRPL23
ATP5F1B	LRPPRC
ACAD9	MTERF4
ACAD9	COX18
SCO2	YBEY
QRSL1	SCO2
PSMA4	WDR70
NDUFS2	WARS2
NDUFB7	TIMMDC1
NDUFAF3	UQCRC2
NDUFA9	NDUFB9
NDUFA9	NDUFAF7
NDUFA6	WARS2
NARS2	NGRN
MTG2	TIMMDC1
MTG2	PET100
MTFMT	YBEY
MTFMT	TFAM
MTERF4	SCO2
MTERF3	DMAC1
MRPS5	NDUFV2
MRPS5	NDUFB4
MRPS34	TARS2
MRPS31	MRPS34
MRPS14	NDUFA8
MRPL9	RARS2
MRPL54	NARS2
MRPL4	SARS2
MRPL4	MRPS26
MRPL41	RPUSD3
MRPL41	NDUFS7
MRPL38	TFB2M
MRPL37	MRPS10
MRPL35	PET117
MRPL35	MRPL40
MRPL30	MRPL48
MRPL21	NDUFV2
MRPL1	NDUFA11
MRPL18	PDSS1
MRPL18	MRPS7
MRPL17	MRPL35
MRPL14	TFB2M
MRPL13	MRPS31
MRPL12	POLRMT
MRPL12	MRPL51
MRPL11	MRPL28
MIPEP	RTN4IP1
MARS2	NDUFV2
MARS2	NDUFAF4
MAPKAP1	MLST8
MALSU1	UQCRC2
MALSU1	NDUFB7
MALSU1	NDUFB5
LSM5	WDR33
LRPPRC	RBFA
LRPPRC	NDUFB3
LMAN2	MRGPRE
LCE1B	U2AF1
LARS2	SCO1
KIAA0391	NDUFB5
IBA57	MCAT
GTPBP8	MRPL22
GTPBP10	YARS2
GFM2	MRPS10
GFM2	MRPL13
GADD45GIP1	NGRN
GADD45GIP1	MRPL46
GADD45GIP1	GFM2
FOXRED1	QRSL1
FOXRED1	MRPL51
FASTKD5	TFAM
FARS2	MRPL9
ERAL1	MRPL48
ERAL1	FARS2
EMC6	EMC7
ECSIT	NDUFAF3
ECSIT	MTFMT
ECSIT	MRPL47
DNLZ	TRMT61A
DET1	STK40
DDX28	MRPS27
DARS2	POLRMT
DARS2	POLG2
DARS2	NDUFS5
DARS2	NDUFB6
CYC1	MRPS18C
CYC1	MRPL4
COX5B	WARS2
COX5B	MRPL46
COX5B	GRSF1
COX4I1	MRPL38
COX4I1	MIPEP
COX18	MRPL41
COX16	SSBP1
COQ7	MRPL46
COA6	MRPL4
COA3	MRPL55
CARS2	MRPL2
BCS1L	NDUFB6
BCS1L	MRPS34
BCS1L	MRPL55
BCS1L	COX15
ATP5ME	RTN4IP1
ATP5ME	MRPL28
ATP5ME	COX18
ATP5PD	MRPL22
ATP5F1D	ATP5PF
ATP5F1C	MRPL46
AIDA	SMU1
ADAT2	DOLK
ACOX1	PEX2
ACAD9	MRPL39
AARS2	NDUFAF1
TIMMDC1	UQCRQ
TIMMDC1	UQCRFS1
TFAM	RCC1L
SSBP1	TRMT10C
SDHB	SDHD
PET117	PTCD3
PDSS1	UQCRB
OR4N2	OR4N4
NDUFB2	SCO2
NDUFA8	SCO1
MTFMT	NARS2
MTERF4	NDUFB6
MTERF3	PDSS2
MTERF3	NDUFS1
MRPS5	NOA1
MRPS27	TFB2M
MRPS26	TFB2M
MRPS26	MTERF3
MRPS18B	MRPS21
MRPS18A	PTCD3
MRPS14	NSUN4
MRPS14	NDUFA2
MRPS10	NDUFS5
MRPL54	MTPAP
MRPL51	MRPS31
MRPL51	MRPS18C
MRPL49	NDUFV2
MRPL48	PET117
MRPL44	WARS2
MRPL41	RTN4IP1
MRPL40	NDUFAF4
MRPL3	RPUSD4
MRPL39	NDUFB3
MRPL37	SUPV3L1
MRPL37	NDUFAF5
MRPL35	MTG2
MRPL34	MRPS28
MRPL33	PARS2
MRPL18	POLRMT
MRPL18	NSUN4
MRPL15	UQCRC1
MRPL15	MRPS33
MRPL14	NDUFA8
MRPL12	NDUFV2
MRPL11	MRPS6
MIPEP	UQCRC2
MIPEP	SCO1
MCAT	MRPL23
LRPPRC	MRPL50
KRT18	SMU1
ISCA2	SCO1
ISCA2	MRPL38
IL12RB2	OCLM
GTPBP8	RTN4IP1
GTPBP10	MRPS10
GLRX5	MRPS11
MRM2	WARS2
MRM2	SSBP1
FASTKD5	MRM3
FASTKD5	MRPS14
ERAL1	MTERF3
ERAL1	MIPEP
ECSIT	NUBPL
EARS2	NDUFB8
EARS2	NDUFB3
DARS2	MRPS18C
CYCS	MRPS6
COX7C	MRPL38
COX6C	MRPL16
COX6C	ECSIT
COX6B1	MRPL10
COX6B1	MALSU1
COX5B	MRPS18C
COX4I1	MRPL53
COX15	EARS2
COX11	NDUFB8
COQ7	MTERF4
COQ4	MRM3
COQ4	QRSL1
COQ2	MARS2
COA7	MRPS17
COA6	MRPL48
COA3	MRPS12
COA3	MRPL21
CARS2	COX6B1
TWNK	NDUFC1
BCS1L	MRPL46
ATP6V1C1	MED4
ATP5ME	LARS2
ATP5PD	MRPL30
ATP5F1C	MRPL10
ASB4	CWC27
ABCE1	REV1
VPS16	VPS18
VARS2	YARS2
RTTN	TUBE1
RPUSD4	SUPV3L1
PDSS2	MRM3
PDSS1	SCO2
NGRN	TARS2
NDUFS8	UQCRQ
NDUFS8	TFB1M
NDUFA8	QRSL1
MTHFD1	UMPS
MTG2	NDUFB6
MTERF4	NDUFS5
MRPS7	NDUFAF4
MRPS35	UQCRC1
MRPS35	SSBP1
MRPS33	SLC25A26
MRPS2	MRPS5
MRPS27	MTERF3
MRPS26	POLG2
MRPS18A	TARS2
MRPS10	NDUFA8
MRPL57	MRPS17
MRPL55	NDUFB7
MRPL54	MRPS18B
MRPL53	MRPL55
MRPL51	VARS2
MRPL51	MRPS14
MRPL49	TIMMDC1
MRPL46	TFB2M
MRPL43	PDSS1
MRPL41	MRPS9
MRPL40	TIMMDC1
MRPL40	SCO1
MRPL40	MRPS28
MRPL38	MRPS18C
MRPL37	NDUFS1
MRPL37	MRPL49
MRPL36	MRPS2
MRPL35	MRPS23
MRPL35	MRPL51
MRPL34	RBFA
MRPL33	MRPS7
MRPL28	PNPT1
MRPL28	MRPL49
MRPL24	MRPS24
MRPL23	NDUFA10
MRPL20	RBFA
MRPL20	MTFMT
MRPL20	MRPS35
MRPL1	MRPL53
MRPL19	MRPL37
MRPL17	UQCRFS1
MRPL15	MRPS7
MRPL14	WARS2
MRPL14	NDUFA11
MRPL14	MRPS9
MRPL13	MRPS5
MRPL12	UQCRB
METTL17	YARS2
METTL17	MTG2
MCAT	MTERF3
MALSU1	MRPL51
LRPPRC	MTFMT
LCE1B	OR2T33
LARS2	MRPL19
KIAA0391	PDSS2
IBA57	NGRN
HARS2	MRPS21
GFM2	NUBPL
GFM2	NDUFV2
GFM1	NGRN
GATC	MRPL37
MRM2	METTL17
FOXRED1	MRPL3
FARS2	PNPT1
FAM200B	OR5AS1
RETREG1	TAS2R10
ECSIT	MRPL21
EARS2	YBEY
DDX28	TMEM242
DDX28	MTFMT
DARS2	MRPS5
DARS2	MRPS17
COX7C	NDUFB2
COX7C	MRPS28
COX5B	PDSS2
COX4I1	TFB1M
COX18	MRPL33
COX16	QRSL1
COX16	MRPS2
COX16	MRPL40
COX11	MRPL46
COX10	NDUFB9
COX10	MRPL24
COQ7	MTRF1L
COQ4	SCO1
COQ2	NDUFA11
COA7	NDUFS7
COA6	RBFA
COA5	NDUFA11
COA3	GFM2
CARS2	NDUFAF6
TWNK	NDUFAF5
TWNK	CYCS
BRCA2	PALB2
DMAC2	NDUFS7
ATP5PF	MRPL18
ATP5ME	COX6C
ATP5PB	KIAA0391
ATP5F1C	MRPS16
ATP5F1C	MALSU1
ATP5F1B	NDUFB8
INTS13	C7orf26
ANAPC10	TTK
AIDA	OR10Z1
ADSL	OGDH
ACAD9	RBFA
ACAD9	MRPS18B
ABHD13	ASNSD1
AARS2	MRPL35
WARS2	YBEY
TIMMDC1	UQCRB
TFB1M	YARS2
TFB1M	UQCRB
SLFN13	ZNF99
SCO2	TFAM
RTN4IP1	UQCR10
RBFA	RPUSD4
PDSS2	UQCRC1
NDUFS8	NUBPL
NDUFB10	NDUFV1
NDUFAF7	NDUFB5
NDUFAF5	NSUN4
NDUFA6	PDE12
NDUFA6	NOA1
NDUFA2	SCO1
NDUFA10	SCO1
MTG2	UQCRFS1
MTG1	TRMT10C
MTFMT	NDUFS1
MRPS5	MRPS26
MRPS26	TARS2
MRPS25	NDUFV2
MRPS24	PDSS1
MRPS23	UQCRC2
MRPS23	NDUFB5
MRPS23	MRPS25
MRPS16	MTFMT
MRPS14	NDUFB10
MRPS12	UQCRC1
MRPS10	NDUFA11
MRPL57	NDUFB7
MRPL57	NARS2
MRPL55	UQCRFS1
MRPL55	TRMT10C
MRPL53	TFB1M
MRPL4	SLC25A26
MRPL48	VARS2
MRPL47	MRPL53
MRPL46	NDUFB2
MRPL46	NDUFA11
MRPL46	MRPS34
MRPL44	TFB1M
MRPL44	QRSL1
MRPL44	MRPS26
MRPL3	MRPL35
MRPL38	UQCRQ
MRPL38	SLC25A26
MRPL37	QRSL1
MRPL35	MRPL38
MRPL32	NDUFS7
MRPL21	NDUFS1
MRPL17	POLG2
MRPL17	NDUFAF7
MRPL17	MRPS7
MRPL13	UQCRB
MRPL13	MRPL44
MRPL13	MRPL30
MRPL13	MRPL22
MRPL12	NDUFB8
MRPL12	MTFMT
MIPEP	MRPS34
MIPEP	MRPL3
MARS2	TIMMDC1
MARS2	RTN4IP1
ISCA2	NDUFA10
MRPL58	NDUFV2
IBA57	MRPL32
GTPBP8	UQCR10
GTPBP8	MRPL48
GTPBP8	LRPPRC
GRSF1	MRPL36
GRSF1	MARS2
GRSF1	IBA57
GLRX5	MRPL43
GFM2	NGRN
GFM1	MRPL38
GATC	TARS2
GATC	MRPS2
GATC	MRPL38
FOXRED1	NSUN4
FOXRED1	NDUFA3
ERAL1	WARS2
ERAL1	MALSU1
ECSIT	MRPL39
ECSIT	GTPBP8
DSCR4	LCE1B
DSCR4	LCE1A
DDX28	NDUFB5
DDX28	ERAL1
DARS2	RTN4IP1
DAP3	UQCRC1
COX7C	NDUFAF5
COX7C	EARS2
COX6C	MRPS22
COX6B1	COX19
COX4I1	TRMT10C
COX4I1	NDUFAF3
COX18	NDUFAF3
COX16	MRM3
COX16	PET100
COX16	NDUFS8
COX16	NDUFS5
COX16	MRPL20
COX16	LARS2
COX10	MRPS5
COX10	MRPL17
COX10	MRPL12
COQ7	MRPS31
COQ4	UQCRQ
COQ2	MRPS6
COA7	UQCRFS1
COA6	TARS2
COA6	MRPL13
COA3	NDUFC1
COA3	NDUFB10
CARS2	NDUFB2
CARS2	NARS2
C21orf2	KIF2A
BCS1L	MTERF3
ATP5F1C	GRSF1
ALG11	ANAPC10
AHCY	SDHA
ACAD9	MRPL23
WDR24	WDR59
UFC1	UFSP2
DMAC1	UQCRC2
SDHC	SDHD
RARS2	TIMMDC1
QRICH1	SEPHS1
PTCD3	UQCRB
POLG2	PPA2
PDSS1	UQCRC1
OR5AS1	SPHAR
NDUFS8	RARS2
NDUFS8	PTCD3
NDUFS2	PDSS1
NDUFS1	SSBP1
NDUFS1	PET100
NDUFS1	NDUFS3
NDUFB5	UQCRC1
NDUFB3	SCO2
NDUFAF1	NGRN
NDUFA8	NDUFS3
NDUFA11	SUPV3L1
NDUFA11	RARS2
MTPAP	NDUFAF1
MTFMT	NDUFC1
MRPS31	POLG
MRPS31	MRPS35
MRPS2	RBFA
MRPS28	MTG2
MRPS18A	POLG2
MRPS18A	POLG
MRPS11	YBEY
MRPL9	NDUFB8
MRPL9	MRPL38
MRPL53	NDUFAF7
MRPL44	PTCD3
MRPL44	MRPS2
MRPL43	DMAC1
MRPL3	MRPL30
MRPL39	PET100
MRPL39	MRPS21
MRPL36	MRPL41
MRPL34	UQCRC2
MRPL23	NDUFAF7
MRPL23	NDUFA11
MRPL19	MRPL40
MRPL18	NDUFS7
MRPL18	MRPS21
MRPL17	POLRMT
MRPL16	RTN4IP1
MRPL15	PDSS1
MRPL14	SARS2
MRE11	RTCB
LRPPRC	MTRF1L
IBA57	MTFMT
GTPBP8	NDUFB9
GTPBP10	RPUSD3
GTPBP10	POLRMT
GRSF1	TFB1M
GLRX5	NDUFB9
GFM1	MRPS18B
GFM1	GTPBP10
GATC	NDUFS8
GATC	GTPBP8
GADD45GIP1	MRPS35
MRM2	MRPL41
FOXRED1	NDUFS3
FASTKD5	METTL17
FARS2	NDUFB3
FARS2	NDUFAF5
FANCA	FANCL
ETFB	KRT18
ERAL1	METTL17
EARS2	RTN4IP1
DPM1	DPM3
DDX28	MRPL53
DCPS	TRMT61A
DARS2	NDUFS8
DAP3	NDUFS1
DAP3	MRPS10
DAP3	MRPL43
DAP3	MRPL15
COX6C	MRPS2
COX5B	NDUFB9
COX5B	MTERF3
COX5B	MRPL20
COX5B	MRPL17
COX19	MTG2
COX11	YARS2
COX10	COX16
COA7	NARS2
COA5	NDUFB8
COA5	NDUFAF7
COA3	MRPS31
COA3	GRSF1
CHEK1	DEK
CEP350	PPP2R3C
CARS2	PTCD3
TWNK	NDUFS2
TWNK	COX6C
BCS1L	YARS2
BCS1L	SCO1
AURKAIP1	MRPL46
ATP5PF	MRPS14
ATP5ME	MRPL13
ATP5F1C	TMEM242
ATP5F1C	NDUFA8
ATP5F1C	NDUFA11
ATP5F1C	MRPL21
ANAPC10	RTFDC1
SDHB	UQCRB
RTFDC1	USP39
RBFA	SSBP1
ORC3	ORC5
NUBPL	MRM3
NOA1	WARS2
NOA1	TIMMDC1
NGRN	SLC25A26
NDUFS7	NUBPL
NDUFB4	UQCR10
NDUFA9	UQCRC1
NDUFA9	NDUFB7
MTG1	NDUFV2
MTERF4	SUPV3L1
MTERF3	NDUFB2
MRPS9	MTERF3
MRPS7	TRUB2
MRPS6	MRPS30
MRPS5	NDUFA10
MRPS35	MTG1
MRPS2	MRPS35
MRPS24	MTFMT
MRPS22	NDUFB10
