A	B
RHBDD2	SLC66A1
DEF6	SLC66A1
ALAS1	PHF23
ATP6V0A1	INPP4A
PLXND1	PARP3
CFH	ADAM28
GAS7	LCP2
MRC2	LCP2
PLAUR	LCP2
BIRC3	LCP2
PLEKHO1	LCP2
TYMP	LCP2
CALCOCO1	TRIT1
SH3YL1	TRIT1
CFH	EPHA3
HGF	EPHA3
LAMP2	DSG2
RAD52	OFD1
CFH	PREX2
COX15	CTPS2
ABHD5	CP
CD44	CP
SPAG9	SCML1
AP2B1	MAP4
EHD3	HDAC9
ITGA3	TSPAN17
POMT2	TSPAN17
EXTL3	TSPAN17
CLEC16A	TSPAN17
PRSS22	NOP16
PIAS1	SNX29
CSDE1	MRPS10
SPAST	MRPS10
FGR	CELF2
STAB1	CELF2
CD4	CELF2
TYROBP	CELF2
WAS	CELF2
ADSS2	FAM120A
SNX29	R3HDM1
TACC3	COL9A2
CFH	LTBP1
MRC2	LTBP1
ADGRA2	LTBP1
EPHA3	LTBP1
MCUB	RCN1
BID	RCN1
BAIAP2L1	RFC2
ABHD5	RFC2
SERPINB1	RFC2
CD44	RFC2
HMGB3	RFC2
SARS1	RFC2
GAB2	RFC2
ST7	CLPTM1L
B4GALT7	CLPTM1L
CTNS	CLPTM1L
ADIPOR2	NEDD4L
CD9	HEXB
RRAGD	HEXB
VCL	HEXB
DSG2	HEXB
CFH	DKK3
ADAM22	DKK3
NOP16	NFE2L3
ST7	MCUR1
ERP44	MCUR1
HEATR5B	LETMD1
ABCC8	SLC4A8
PAX6	SLC4A8
CACNA2D2	SLC4A8
CELSR3	SLC4A8
SYT7	SLC4A8
TSPOAP1	FAM160A2
MKS1	FAM160A2
GDE1	PIK3CB
SEC62	PIK3CB
MBTPS2	PIK3CB
UBR7	PIK3CB
UFL1	PIK3CB
DERA	PIK3CB
SEC63	PIK3CB
FBXL3	PLEKHA5
ZFYVE16	SIKE1
FAM214A	TTC17
BAIAP2L1	MRTO4
SARS1	MRTO4
B4GALT7	USE1
TSPOAP1	NRIP2
MLXIPL	ENTPD2
COL9A2	ENTPD2
VRK2	ARID4B
NUB1	SDCCAG8
ABCC8	PTPRN
PAX6	PTPRN
CACNA2D2	PTPRN
BAIAP3	PTPRN
CELSR3	PTPRN
CNTN1	PTPRN
SYT13	PTPRN
SLC4A8	PTPRN
UBR2	KIF1B
NUB1	TBC1D22A
ATP2C1	FAM168A
PIAS1	FAM168A
SYPL1	GALC
ARX	KCNH2
ABCC8	KCNH2
PAX6	KCNH2
CACNA2D2	KCNH2
BAIAP3	KCNH2
CELSR3	KCNH2
MAPK8IP2	KCNH2
SYT7	KCNH2
ISL1	KCNH2
CNTN1	KCNH2
SYT13	KCNH2
PTPRN	KCNH2
CC2D2A	CYFIP2
FUCA2	GINM1
PEX3	GINM1
NOP16	USP36
RRP12	USP36
MRTO4	USP36
SIKE1	PUM2
RAD52	TRAF1
AP2S1	TRAF3IP2
GINM1	TRAF3IP2
PIAS1	DCBLD2
R3HDM1	DCBLD2
ICA1	GDI2
GDE1	GDI2
UBR7	GDI2
UFL1	GDI2
TTC27	GDI2
RFC1	GDI2
CC2D2A	TMCC3
ARF5	MTA3
NUB1	MTA3
UBR2	MTA3
JADE2	MTA3
HEBP2	MTA3
TBC1D22A	MTA3
UBR7	USP13
ENPP4	ATP11B
ITGA3	LAMC2
PLAUR	LAMC2
BIRC3	LAMC2
TYMP	LAMC2
VCAN	LAMC2
ST7	SEC61A1
CTNS	SEC61A1
ABCC8	RASGRF1
PAX6	RASGRF1
CELSR3	RASGRF1
SYT7	RASGRF1
CNTN1	RASGRF1
SYT13	RASGRF1
SLC4A8	RASGRF1
PTPRN	RASGRF1
KCNH2	RASGRF1
ABCC8	CAMK2B
ETV1	CAMK2B
PAX6	CAMK2B
CACNA2D2	CAMK2B
BAIAP3	CAMK2B
CELSR3	CAMK2B
MAPK8IP2	CAMK2B
MLXIPL	CAMK2B
GIPR	CAMK2B
ISL1	CAMK2B
CNTN1	CAMK2B
SYT13	CAMK2B
PTPRN	CAMK2B
KCNH2	CAMK2B
RASGRF1	CAMK2B
NSMAF	POLR3E
MRTO4	POLR3E
PRSS22	ATP2B4
RUFY3	ATP2B4
SYNE2	ATP2B4
FAM13B	ZC3H11A
INPP4A	ZC3H11A
M6PR	NDC1
GDE1	NDC1
SYPL1	NDC1
CSDE1	NDC1
MRPS10	NDC1
FUZ	UNKL
SLC11A1	TBXAS1
CD74	TBXAS1
TNFRSF1B	TBXAS1
CAPG	TBXAS1
CELF2	TBXAS1
SEC63	ALDH18A1
ALG1	ALDH18A1
CDH1	ALDH18A1
BCLAF1	CDK17
RNF19A	CDK17
STAU2	CDK17
DYRK4	DNAJC25
METTL1	DNAJC25
ABCC8	PSD
PAX6	PSD
CACNA2D2	PSD
BAIAP3	PSD
CELSR3	PSD
MAPK8IP2	PSD
MLXIPL	PSD
GIPR	PSD
NISCH	PSD
SYT7	PSD
ISL1	PSD
PTPRN	PSD
CAMK2B	PSD
CAPN1	CTDP1
SLC7A2	YBX3
BAIAP2L1	YBX3
ABHD5	YBX3
MVP	YBX3
SERPINB1	YBX3
CD44	YBX3
TUBG2	YBX3
METTL1	YBX3
CP	YBX3
NOP16	YBX3
RFC2	YBX3
RRP12	YBX3
MRTO4	YBX3
ATP2B4	YBX3
DCBLD2	WNK1
PPP1R12A	WNK1
MARK4	OGFR
PRICKLE3	OGFR
OSBPL5	OGFR
MTMR7	RIMBP2
ARX	RIMBP2
