V1	V2
ACOX3	AMACR
ACOX3	CRAT
ACOX3	CROT
ACOX3	HSD17B4
ACOX3	SCP2
ACSL1	ELOVL1
ACSL1	ELOVL2
ACSL1	ELOVL3
ACSL1	ELOVL5
ACSL1	FADS1
ACSL1	FADS2
ACSM1	ACSM2B
ACSM1	GLYAT
ACSM1	GLYATL1
ACSM1	GLYATL2
ACSM1	GLYATL3
ACSM2A	ACSM2B
ACSM2A	ACSM4
ACSM2A	ACSM5
ACSM2A	GLYAT
ACSM2A	GLYATL1
ACSM2A	GLYATL2
ACSM2A	GLYATL3
ACSM2B	ACSM4
ACSM2B	ACSM5
ACSM2B	GLYAT
ACSM2B	GLYATL1
ACSM2B	GLYATL2
ACSM2B	GLYATL3
ACSM3	ACSM6
ACSM3	ECHS1
ACSM3	HADH
ACSM4	ACSM5
ACSM4	GLYAT
ACSM4	GLYATL1
ACSM4	GLYATL2
ACSM4	GLYATL3
ACSM5	GLYAT
ACSM5	GLYATL1
ACSM5	GLYATL2
ACSM5	GLYATL3
ACSM6	ECHS1
ACSM6	HADH
ACSS2	NCOA1
ACSS2	NCOA2
ACSS2	RXRA
ACTB	ACTG1
ACTB	ACTL6A
ACTB	ACTR2
ACTB	ACTR3
ACTB	ACTR5
ACTB	ACTR8
ACTB	ARPC1A
ACTB	ARPC1B
ACTB	ARPC2
ACTB	ARPC3
ACTB	ARPC4
ACTB	ARPC5
ACTB	CDC42
ACTB	EP300
ACTB	H2AFX
ACTB	HIST1H2AB
ACTB	HIST1H2AC
ACTB	HIST1H2AD
ACTB	HIST1H2AJ
ACTB	HIST1H2BA
ACTB	HIST1H2BB
ACTB	HIST1H2BC
ACTB	HIST1H2BD
ACTB	HIST1H2BH
ACTB	HIST1H2BJ
ACTB	HIST1H2BK
ACTB	HIST1H2BL
ACTB	HIST1H2BM
ACTB	HIST1H2BN
ACTB	HIST1H2BO
ACTB	HIST1H3A
ACTB	HIST1H4A
ACTB	HIST2H2AA3
ACTB	HIST2H2AC
ACTB	HIST2H2BE
ACTB	HIST2H3A
ACTB	HIST3H2BB
ACTB	INO80
ACTB	INO80B
ACTB	INO80C
ACTB	INO80D
ACTB	INO80E
ACTB	KAT2A
ACTB	KAT2B
ACTB	MCRS1
ACTB	NFRKB
ACTB	RAC1
ACTB	RAD23A
ACTB	RAD23B
ACTB	RUVBL1
ACTB	TFPT
ACTB	WASL
ACTG1	ACTR2
ACTG1	ACTR3
ACTG1	ARPC1A
ACTG1	ARPC1B
ACTG1	ARPC2
ACTG1	ARPC3
ACTG1	ARPC4
ACTG1	ARPC5
ACTG1	CDC42
ACTG1	PTK2
ACTG1	RAC1
ACTG1	WASL
ACTL6A	ACTR5
ACTL6A	ACTR8
ACTL6A	EP300
ACTL6A	HIST1H2AB
ACTL6A	HIST1H2AC
ACTL6A	HIST1H2AD
ACTL6A	HIST1H2AJ
ACTL6A	HIST2H2AA3
ACTL6A	HIST2H2AC
ACTL6A	INO80
ACTL6A	INO80B
ACTL6A	INO80C
ACTL6A	INO80D
ACTL6A	INO80E
ACTL6A	MCRS1
ACTL6A	NFRKB
ACTL6A	RAD23A
ACTL6A	RAD23B
ACTL6A	RPS27A
ACTL6A	RUVBL1
ACTL6A	TFPT
ACTL6A	UBA52
ACTL6A	UBB
ACTL6A	UBC
ACTN1	CASK
ACTN1	FLNA
ACTN1	ITGB1
ACTN1	ITGB3
ACTN1	TGFB1
ACTN1	THBS1
ACTN2	ACTN3
ACTN2	CALM1
ACTN2	CAMK2A
ACTN2	CAMK2B
ACTN2	CAMK2D
ACTN2	CAMK2G
ACTN2	DLG1
ACTN2	DLG2
ACTN2	DLG3
ACTN2	DLG4
ACTN2	ERBB4
ACTN2	GRIN1
ACTN2	GRIN2B
ACTN2	GRIN2D
ACTN2	HRAS
ACTN2	KRAS
ACTN2	LRRC7
ACTN2	MAPK1
ACTN2	MAPK3
ACTN2	NEFL
ACTN2	NRAS
ACTN2	NRG1
ACTN2	RASGRF1
ACTN2	RASGRF2
ACTN2	SRC
ACTN2	TTN
ACTR10	ACTR1A
ACTR10	CAPZA1
ACTR10	CAPZA2
ACTR10	CAPZA3
ACTR10	CAPZB
ACTR10	DCTN1
ACTR10	DCTN2
ACTR10	DCTN3
ACTR10	DCTN4
ACTR10	DCTN5
ACTR10	DCTN6
ACTR10	DYNC1H1
